email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@vangansewinkel.nl;Van Gansewinkel;afvalverwerking;Nederland;380;;www.vangansewinkel.nl;60;92;discovered;;ai_discovery;2026-03-23 09:09:06
info@sims.nl;Sims Lifecycle Services;afvalverwerking;Nederland;180;;www.sims.nl;60;92;discovered;;ai_discovery;2026-03-23 15:42:00
info@sita.nl;Sita;afvalverwerking;Nederland;320;;www.sita.nl;60;91;discovered;;ai_discovery;2026-03-23 09:09:06
info@nha.nl;Noord-Holland Afval;afvalverwerking;Nederland;99;;www.nha.nl;60;91;discovered;;ai_discovery;2026-03-23 09:19:54
info@aeb.nl;AEB;afvalverwerking;Nederland;280;;www.aeb.nl;60;90;discovered;;ai_discovery;2026-03-23 09:09:06
info@afvalzorg.nl;Afvalzorg;afvalverwerking;Nederland;120;;www.afvalzorg.nl;60;90;discovered;;ai_discovery;2026-03-23 09:19:54
info@verbrink.nl;Verbrink Recycling;afvalverwerking;Nederland;91;;www.verbrink.nl;60;89;discovered;;ai_discovery;2026-03-23 09:19:54
info@simsrecycling.nl;Sims Recycling;afvalverwerking;Nederland;110;;www.simsrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@duurzaamnz.nl;Duurzaam Noord-Holland;afvalverwerking;Nederland;60;;www.duurzaamnz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@wecycle.nl;Wecycle;afvalverwerking;Nederland;55;;www.wecycle.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@waste2clean.nl;Waste2Clean;afvalverwerking;Nederland;85;;www.waste2clean.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@avr.nl;AVR;afvalverwerking;Nederland;120;;www.avr.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@beccarium.nl;Beccarium;afvalverwerking;Nederland;65;;www.beccarium.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@circet.nl;Circet Nederland;afvalverwerking;Nederland;110;;www.circet.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@aco.nl;Afval Centrale Oost;afvalverwerking;Nederland;62;;www.aco.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@saver.nl;Saver;afvalverwerking;Nederland;68;;www.saver.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@asmb.nl;Afvalservice Midden-Brabant;afvalverwerking;Nederland;58;;www.asmb.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@rcgroep.nl;Recycling Centrum Groep;afvalverwerking;Nederland;71;;www.rcgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@anhnl.nl;Afvalwerkingbedrijf Noord-Holland;afvalverwerking;Nederland;64;;www.anhnl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@tav.nl;Twente Afvalverwerking;afvalverwerking;Nederland;53;;www.tav.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@limburgrecycling.nl;Limburg Recycling;afvalverwerking;Nederland;59;;www.limburgrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@alz.nl;Afvallogistiek Zentrum;afvalverwerking;Nederland;82;;www.alz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@uab.nl;Utrecht Afvalbeheer;afvalverwerking;Nederland;73;;www.uab.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@zhr.nl;Zuid-Holland Recycling;afvalverwerking;Nederland;67;;www.zhr.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@aoz.nl;Afvalopslag Zuidoost;afvalverwerking;Nederland;54;;www.aoz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@puqam.nl;PUQAM;afvalverwerking;Nederland;120;;www.puqam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.amsterdam.nl;Gemeente Amsterdam Afval;afvalverwerking;Nederland;250;;www.amsterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@avggroep.nl;AVG Groep;afvalverwerking;Nederland;95;;www.avggroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalverwerking-flevoland.nl;Afvalverwerking Flevoland;afvalverwerking;Nederland;110;;www.afvalverwerking-flevoland.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@hvn.nl;Huisvuilverwerking Noord;afvalverwerking;Nederland;75;;www.hvn.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalservice-oost.nl;Afvalservice Oost;afvalverwerking;Nederland;65;;www.afvalservice-oost.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.rotterdam.nl;Gemeente Rotterdam Afval;afvalverwerking;Nederland;220;;www.rotterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@prowaste.nl;ProWaste;afvalverwerking;Nederland;140;;www.prowaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@asz-zwolle.nl;Afvalstoffenmaatschappij Zwolle;afvalverwerking;Nederland;70;;www.asz-zwolle.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieu-haarlemmermeer.nl;Milieudienst Haarlemmermeer;afvalverwerking;Nederland;55;;www.milieu-haarlemmermeer.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@westafval.nl;Westafval;afvalverwerking;Nederland;130;;www.westafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@rwe-incineration.nl;RWE Incineration;afvalverwerking;Nederland;95;;www.rwe-incineration.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.denhaag.nl;Gemeente Haag Afval;afvalverwerking;Nederland;180;;www.denhaag.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.utrecht.nl;Gemeente Utrecht Afval;afvalverwerking;Nederland;165;;www.utrecht.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieubedrijf-nijmegen.nl;Milieubedrijf Nijmegen;afvalverwerking;Nederland;85;;www.milieubedrijf-nijmegen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalverwerking-limburg.nl;Afvalverwerking Limburg;afvalverwerking;Nederland;110;;www.afvalverwerking-limburg.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieudienst-leiden.nl;Milieudienst Leiden;afvalverwerking;Nederland;60;;www.milieudienst-leiden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@circulaireeeconomie.nl;Circulaire Economie BV;afvalverwerking;Nederland;85;;www.circulaireeeconomie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@georecycling.nl;Geo Recycling;afvalverwerking;Nederland;55;;www.georecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvalzorgnoo.nl;Afvalzorg Noord;afvalverwerking;Nederland;75;;www.afvalzorgnoo.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@recyclingexperts.nl;Recycling Experts;afvalverwerking;Nederland;80;;www.recyclingexperts.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afalstrijd.nl;Afval Strijd BV;afvalverwerking;Nederland;60;;www.afalstrijd.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@deronde-economie.nl;De Ronde Economie;afvalverwerking;Nederland;70;;www.deronde-economie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@metrorecycling.nl;Metro Recycling;afvalverwerking;Nederland;90;;www.metrorecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@ecotransport.nl;Eco Transport Nederland;afvalverwerking;Nederland;55;;www.ecotransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@containersolutions.nl;Container Solutions;afvalverwerking;Nederland;85;;www.containersolutions.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvallogistiekplus.nl;Afvallogistiek Plus;afvalverwerking;Nederland;65;;www.afvallogistiekplus.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@dumpdrive.nl;Dump & Drive;afvalverwerking;Nederland;75;;www.dumpdrive.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@wasteprofessionals.nl;Waste Professionals;afvalverwerking;Nederland;60;;www.wasteprofessionals.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvalspecialist.nl;Afval Specialist BV;afvalverwerking;Nederland;70;;www.afvalspecialist.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@circulairbeheer.nl;Circulair Beheer;afvalverwerking;Nederland;55;;www.circulairbeheer.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvaldynamiek.nl;Afval Dynamiek;afvalverwerking;Nederland;65;;www.afvaldynamiek.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@sorterenscheiden.nl;Sorteren en Scheiden;afvalverwerking;Nederland;80;;www.sorterenscheiden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@duurzaamafval.nl;Duurzaam Afval;afvalverwerking;Nederland;100;;www.duurzaamafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@logistiekcirculair.nl;Logistiek Circulair;afvalverwerking;Nederland;75;;www.logistiekcirculair.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@vandammerecycling.nl;Van Damme Recycling;afvalverwerking;Nederland;70;;www.vandammerecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@acv-group.nl;ACV Group;afvalverwerking;Nederland;280;;www.acv-group.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@bamerica.nl;Bamérica;afvalverwerking;Nederland;180;;www.bamerica.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@safe-nl.nl;Samenwerking Afvalbeheer Friesland;afvalverwerking;Nederland;110;;www.safe-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@cure-bv.nl;Cure;afvalverwerking;Nederland;85;;www.cure-bv.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@wsi-nl.nl;Waste Services International;afvalverwerking;Nederland;220;;www.wsi-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@gau.nl;Gemeente Afvalbeheer Utrecht;afvalverwerking;Nederland;100;;www.gau.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@gam-maastricht.nl;Gemeentelijk Afvalverwerkingsbedrijf Maastricht;afvalverwerking;Nederland;75;;www.gam-maastricht.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@ava.nl;Afvalverwerking Arnhem;afvalverwerking;Nederland;85;;www.ava.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@nijhuis-afval.nl;Nijhuis Afvalverwerking;afvalverwerking;Nederland;110;;www.nijhuis-afval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@afvalbedrijfbreda.nl;Afvalbedrijf Breda;afvalverwerking;Nederland;95;;www.afvalbedrijfbreda.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@mba.nl;Milieubedrijf Amsterdam;afvalverwerking;Nederland;240;;www.mba.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@belwam.nl;BelWaM;afvalverwerking;Nederland;120;;www.belwam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@od-noord.nl;OD-Noord;afvalverwerking;Nederland;88;;www.od-noord.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
