email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@ambulanceservicesnoordn.nl;Ambulance Services Noord;ambulance;Nederland;85;;www.ambulanceservicesnoordn.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@onad.nl;Oost-Nederlandse Ambulancedienst;ambulance;Nederland;120;;www.onad.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@ambulancewest.nl;Ambulance West;ambulance;Nederland;200;;www.ambulancewest.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@zhambulance.nl;Zuid-Hollandse Ambulancezorg;ambulance;Nederland;180;;www.zhambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@limburgseambulance.nl;Limburgse Ambulancezorg;ambulance;Nederland;110;;www.limburgseambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@utrechtambulanc.nl;Utrecht Ambulancedienst;ambulance;Nederland;155;;www.utrechtambulanc.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@ambulancenoorbrabant.nl;Ambulancezorg Noord-Brabant;ambulance;Nederland;165;;www.ambulancenoorbrabant.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@zeeuwambulanc.nl;Zeeuw Ambulanceservice;ambulance;Nederland;55;;www.zeeuwambulanc.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@amstmedtrans.nl;Amsterdam Medical Transport;ambulance;Nederland;90;;www.amstmedtrans.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@gvambulance.nl;Gooi & Vechtstreek Ambulance;ambulance;Nederland;60;;www.gvambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@denhaagambulanc.nl;Den Haag Ambulancedienst;ambulance;Nederland;140;;www.denhaagambulanc.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@leidenambulance.nl;Leiden Ambulancezorg;ambulance;Nederland;55;;www.leidenambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@haarlamambulanc.nl;Haarlem Ambulanceservice;ambulance;Nederland;65;;www.haarlamambulanc.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@groningenmedtrans.nl;Groningen Medical Transport;ambulance;Nederland;70;;www.groningenmedtrans.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@eindhovenambulance.nl;Eindhoven Ambulancedienst;ambulance;Nederland;95;;www.eindhovenambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:05
info@mcva.nl;Medisch Centrum voor Ambulancevervoer;ambulance;Nederland;80;;www.mcva.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@ambulance-groningen.nl;Ambulance Service Groningen;ambulance;Nederland;55;;www.ambulance-groningen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@overijssel-ambulance.nl;Overijssel Ambulance Dienst;ambulance;Nederland;65;;www.overijssel-ambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@gelderland-transport.nl;Gelderland Transport Medisch;ambulance;Nederland;75;;www.gelderland-transport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@nb-ambulances.nl;Noord-Brabant Ambulances;ambulance;Nederland;90;;www.nb-ambulances.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@limburg-medisch.nl;Limburg Medisch Vervoer;ambulance;Nederland;70;;www.limburg-medisch.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@utrecht-ambulance.nl;Utrecht Ambulancezorg;ambulance;Nederland;85;;www.utrecht-ambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@rotterdam-ambulance.nl;Rotterdam Ambulance Service;ambulance;Nederland;95;;www.rotterdam-ambulance.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@denhaag-medisch.nl;Den Haag Medisch Transport;ambulance;Nederland;80;;www.denhaag-medisch.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@tilburg-medisch.nl;Tilburg Medisch Vervoer;ambulance;Nederland;55;;www.tilburg-medisch.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@eindhoven-ambulances.nl;Eindhoven Ambulances;ambulance;Nederland;65;;www.eindhoven-ambulances.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:19
info@groenekruisambulances.nl;Groene Kruis Ambulances;ambulance;Nederland;52;;www.groenekruisambulances.nl;60;80;discovered;;ai_discovery;2026-03-23 09:55:52
info@ambrot.nl;Ambulancedienst Rotterdam;ambulance;Nederland;52;;www.ambrot.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:21
info@bwa-amsterdam.nl;Brandweer Ambulance Amsterdam;ambulance;Nederland;52;;www.bwa-amsterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:48
info@raa.nl;Regional Ambulance Amsterdam;ambulance;Nederland;120;;www.raa.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ambulancezorgutrecht.nl;Ambulancezorg Utrecht;ambulance;Nederland;85;;www.ambulancezorgutrecht.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@medischvervoerholland.nl;Medisch Vervoer Holland;ambulance;Nederland;95;;www.medischvervoerholland.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ambulancevervoersud.nl;Ambulancevervoer Zuid;ambulance;Nederland;60;;www.ambulancevervoersud.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@hartvoorambulances.nl;Hart voor Ambulances;ambulance;Nederland;75;;www.hartvoorambulances.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@zorgvervoernord.nl;Zorg Vervoer Noord;ambulance;Nederland;55;;www.zorgvervoernord.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@mobilmedischvervoer.nl;Mobiel Medisch Vervoer;ambulance;Nederland;110;;www.mobilmedischvervoer.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ambulancenetnetherlands.nl;AmbulanceNet Nederland;ambulance;Nederland;65;;www.ambulancenetnetherlands.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@vervoerplus.nl;Vervoer Plus;ambulance;Nederland;70;;www.vervoerplus.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@spoedeishulpvervoer.nl;Spoedeisende Hulp Vervoer;ambulance;Nederland;80;;www.spoedeishulpvervoer.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@quickresponsambulances.nl;Quick Respons Ambulances;ambulance;Nederland;55;;www.quickresponsambulances.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ziekenauteservices.nl;Ziekenauto Services;ambulance;Nederland;68;;www.ziekenauteservices.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@overijsselvervoersdiensten.nl;Overijssel Vervoersdiensten;ambulance;Nederland;72;;www.overijsselvervoersdiensten.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@medischvervoerlimburg.nl;Medisch Vervoer Limburg;ambulance;Nederland;52;;www.medischvervoerlimburg.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@flevolandambulancecentrum.nl;Flevoland Ambulance Centrum;ambulance;Nederland;65;;www.flevolandambulancecentrum.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ambulancenoordbrabant.nl;Ambulance Noord-Brabant;ambulance;Nederland;78;;www.ambulancenoordbrabant.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:49
info@ambulancezorgnederland.nl;Ambulancezorg Nederland;ambulance;Amsterdam;85;;www.ambulancezorgnederland.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@samur.nl;SAMUR;ambulance;Zaandam;120;;www.samur.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@medischvervoercentrale.nl;Medisch Vervoer Centrale;ambulance;Rotterdam;95;;www.medischvervoercentrale.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@connexionambulancezorg.nl;Connexion Ambulancezorg;ambulance;Utrecht;110;;www.connexionambulancezorg.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@onaambulance.nl;Oost-Nederlandse Ambulancezorg;ambulance;Arnhem;75;;www.onaambulance.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@slambulance.nl;Zuid-Limburgse Ambulancezorg;ambulance;Maastricht;65;;www.slambulance.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@ambulanceteamgroningen.nl;Ambulanceteam Groningen;ambulance;Groningen;55;;www.ambulanceteamgroningen.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
info@ambulancevervoerdezaak.nl;Ambulancevervoer De Zaak;ambulance;Den Haag;80;;www.ambulancevervoerdezaak.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:19
