email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@rijschoolamsterdamcentraal.nl;Rijschool Amsterdam Centraal;autorijschool;Nederland;22;;www.rijschoolamsterdamcentraal.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:02
info@rijschoolaerts.nl;Rijschool Aerts;autorijschool;Nederland;8;;www.rijschoolaerts.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschooldevries.nl;Rijschool De Vries;autorijschool;Nederland;12;;www.rijschooldevries.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@autohogeschooldnl.nl;Auto Hogeschool Nederland;autorijschool;Nederland;15;;www.autohogeschool.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschoolsmeets.nl;Rijschool Smeets;autorijschool;Nederland;10;;www.rijschoolsmeets.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@praktijkrijschoelbuis.nl;Praktijkrijschool Buis;autorijschool;Nederland;7;;www.praktijkrijschoolbuis.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschoolverhoeven.nl;Rijschool Verhoeven;autorijschool;Nederland;9;;www.rijschoolverhoeven.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschoolhendrix.nl;Rijschool Hendrix;autorijschool;Nederland;11;;www.rijschoolhendrix.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@praktijkrijschoolddelinde.nl;Praktijkrijschool De Linde;autorijschool;Nederland;8;;www.praktijkrijschooldelinde.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschoolwessels.nl;Rijschool Wessels;autorijschool;Nederland;10;;www.rijschoolwessels.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijsschoolvandenberg.nl;Rijschool Van den Berg;autorijschool;Nederland;9;;www.rijschoolvandenberg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschooldeboer.nl;Rijschool De Boer;autorijschool;Nederland;11;;www.rijschooldeboer.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschooljansen.nl;Rijschool Jansen;autorijschool;Nederland;13;;www.rijschooljansen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@praktijkrijschoolkuipers.nl;Praktijkrijschool Kuipers;autorijschool;Nederland;8;;www.praktijkrijschoolkuipers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
info@rijschoolpieterse.nl;Rijschool Pieterse;autorijschool;Nederland;7;;www.rijschoolpieterse.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:48
