email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@enterprise.nl;Enterprise Rent-A-Car Nederland;autoverhuur;Nederland;1000;;www.enterprise.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@addax.nl;Addax Autoverhuur;autoverhuur;Nederland;450;;www.addax.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@budgetautoverhuur.nl;Budget Autoverhuur;autoverhuur;Nederland;350;;www.budgetautoverhuur.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@thrifty.nl;Thrifty Car Rental Nederland;autoverhuur;Nederland;280;;www.thrifty.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@foxautoverhuur.nl;Fox Autoverhuur;autoverhuur;Nederland;320;;www.foxautoverhuur.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@nationalcar.nl;National Car Rental Nederland;autoverhuur;Nederland;400;;www.nationalcar.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@autoverhuurldeboer.nl;Autoverhuur de Boer;autoverhuur;Nederland;85;;www.autoverhuurldeboer.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@slingerland.nl;Autoverhuur Slingerland;autoverhuur;Nederland;120;;www.slingerland.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@autoverhuurgroningen.nl;Autoverhuur Groningen;autoverhuur;Nederland;75;;www.autoverhuurgroningen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@autohuurfries.nl;Autohuur Friesland;autoverhuur;Nederland;65;;www.autohuurfries.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@autoverhuurlimburg.nl;Autoverhuur Limburg;autoverhuur;Nederland;110;;www.autoverhuurlimburg.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@autoverhuureindhoven.nl;Autoverhuur Eindhoven;autoverhuur;Nederland;140;;www.autoverhuureindhoven.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@carrentalrotterdam.nl;Carrental Rotterdam;autoverhuur;Nederland;105;;www.carrentalrotterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@aac-verhuur.nl;Autoverhuur Amsterdam Center;autoverhuur;Nederland;95;;www.aac-verhuur.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@easirent.nl;Easirent Nederland;autoverhuur;Nederland;180;;www.easirent.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@drivalia.nl;Drivalia Nederland;autoverhuur;Nederland;220;;www.drivalia.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@enjoyautoverhuur.nl;Enjoy Autoverhuur;autoverhuur;Nederland;130;;www.enjoyautoverhuur.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@zonnecar.nl;Zonnecar Autoverhuur;autoverhuur;Nederland;75;;www.zonnecar.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@huren-auto.nl;Huren Auto Nederland;autoverhuur;Nederland;88;;www.huren-auto.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@drivebrand.nl;Drivebrand Autoverhuur;autoverhuur;Nederland;165;;www.drivebrand.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@gorent.nl;GoRent Nederland;autoverhuur;Nederland;110;;www.gorent.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:02
info@carpoint.nl;CarPoint;autoverhuur;Nederland;210;;www.carpoint.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@vangoportal.nl;VanGo Autoverhuur;autoverhuur;Nederland;180;;www.vangoportal.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@sunnycars.nl;Sunny Cars;autoverhuur;Nederland;150;;www.sunnycars.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@record.nl;Record;autoverhuur;Nederland;175;;www.record.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@alamo.nl;Alamo;autoverhuur;Nederland;140;;www.alamo.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@greenmotioncarrental.nl;GreenMotion;autoverhuur;Nederland;95;;www.greenmotioncarrental.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@keddy.nl;Keddy;autoverhuur;Nederland;120;;www.keddy.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@centauro.nl;Centauro;autoverhuur;Nederland;85;;www.centauro.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@goldcar.nl;Goldcar;autoverhuur;Nederland;75;;www.goldcar.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
info@firefly.nl;Firefly;autoverhuur;Nederland;65;;www.firefly.nl;60;80;discovered;;ai_discovery;2026-03-23 09:23:47
