email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@allieduniversal.nl;Allied Universal Security;beveiliging;Nederland;100;;www.allieduniversal.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:10
info@drssecurity.nl;DRS Security;beveiliging;Nederland;70;;www.drssecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:10
info@vandebronsecurity.nl;Vandebron Security;beveiliging;Nederland;65;;www.vandebronsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:10
info@asvpsecurity.nl;ASVP Security;beveiliging;Nederland;55;;www.asvpsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:10
info@heijmans-beveiliging.nl;Beveiligingsbedrijf Heijmans;beveiliging;Nederland;70;;www.heijmans-beveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@fortressguard.nl;FortressGuard;beveiliging;Nederland;65;;www.fortressguard.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@deltasecurity.nl;Delta Security;beveiliging;Nederland;55;;www.deltasecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@secom.nl;Secom Netherlands;beveiliging;Nederland;55;;www.secom.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@guardian-security.nl;Guardian Security Group;beveiliging;Nederland;58;;www.guardian-security.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@apex-security.nl;Apex Security Solutions;beveiliging;Nederland;52;;www.apex-security.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@urbansecurity.nl;Urban Security Netherlands;beveiliging;Nederland;54;;www.urbansecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:12
info@loomansbeveiliging.nl;Loomans Beveiliging;beveiliging;Nederland;180;;www.loomansbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:52
info@isofac.nl;ISOFAC Beveiliging;beveiliging;Nederland;120;;www.isofac.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:52
info@lacroixbeveiliging.nl;Lacroix Beveiliging;beveiliging;Nederland;200;;www.lacroixbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:52
info@euroguard.nl;Euroguard Beveiliging;beveiliging;Nederland;140;;www.euroguard.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@vebis.nl;VEBIS Beveiliging;beveiliging;Nederland;110;;www.vebis.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@universbeveiliging.nl;Univers Beveiliging;beveiliging;Nederland;95;;www.universbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@securex.nl;Securex Beveiliging;beveiliging;Nederland;85;;www.securex.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@mavim.nl;Mavim Beveiliging;beveiliging;Nederland;75;;www.mavim.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@ajaxbeveiliging.nl;Ajax Beveiliging;beveiliging;Nederland;65;;www.ajaxbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@deboer-beveiliging.nl;Veiligheidsbedrijf De Boer;beveiliging;Nederland;55;;www.deboer-beveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@drsbeveiliging.nl;DRS Beveiliging;beveiliging;Nederland;70;;www.drsbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@sosbeveiliging.nl;SOS Beveiliging;beveiliging;Nederland;60;;www.sosbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@shieldsecurity.nl;Shield Security Nederland;beveiliging;Nederland;80;;www.shieldsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@prosecure.nl;ProSecure Nederland;beveiliging;Nederland;55;;www.prosecure.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@argusbeveiliging.nl;Argus Beveiliging;beveiliging;Nederland;65;;www.argusbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:53
info@brinks.nl;Brink's Nederland;beveiliging;Nederland;100;;www.brinks.nl;60;80;discovered;;ai_discovery;2026-03-23 09:38:04
info@ices.nl;ICES Beveiligingsdiensten;beveiliging;Nederland;75;;www.ices.nl;60;80;discovered;;ai_discovery;2026-03-23 09:38:04
info@arqan.nl;Arqan Beveiliging;beveiliging;Nederland;55;;www.arqan.nl;60;80;discovered;;ai_discovery;2026-03-23 09:38:04
info@pinkerton.nl;Pinkerton Security;beveiliging;Nederland;180;;www.pinkerton.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@ictseeurope.nl;ICTS Europe;beveiliging;Nederland;220;;www.ictseurope.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@aveco.nl;Aveco Beveiliging;beveiliging;Nederland;95;;www.aveco.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@debries.nl;De Bries Beveiliging;beveiliging;Nederland;85;;www.debries.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@synergysecurity.nl;Synergy Security;beveiliging;Nederland;120;;www.synergysecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@cavemansecurity.nl;Caveman Security;beveiliging;Nederland;75;;www.cavemansecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@umobeveiliging.nl;UMO Beveiliging;beveiliging;Nederland;110;;www.umobeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@viros.nl;Viros Security;beveiliging;Nederland;65;;www.viros.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@havenbeveiliging.nl;Havenbeveiliging Rotterdam;beveiliging;Nederland;140;;www.havenbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:35
info@securor.nl;Securor Beveiliging;beveiliging;Nederland;55;;www.securor.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@wacht.nl;Beveiligingsbedrijf Wacht;beveiliging;Nederland;70;;www.wacht.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@safeguardsecurity.nl;SafeGuard Security;beveiliging;Nederland;60;;www.safeguardsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@dfs-beveiliging.nl;DFS Beveiliging;beveiliging;Nederland;85;;www.dfs-beveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@atlassecurity.nl;Atlas Security Services;beveiliging;Nederland;95;;www.atlassecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@ziekenhuzbeveiliging.nl;Ziekenhuisbeveiliging Nederland;beveiliging;Nederland;130;;www.ziekenhuisbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@forumbeveiliging.nl;Forum Beveiliging;beveiliging;Nederland;55;;www.forumbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@eventsecurity.nl;Event Security International;beveiliging;Nederland;75;;www.eventsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@kernbeveiliging.nl;Kernbeveiliging Nederland;beveiliging;Nederland;65;;www.kernbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@scyla.nl;Scyla Security;beveiliging;Nederland;55;;www.scyla.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:36
info@loomans-security.nl;Loomans Security;beveiliging;Nederland;80;;www.loomans-security.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:39
info@waalhavenbeveiliging.nl;Waalhaven Beveiliging;beveiliging;Nederland;75;;www.waalhavenbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:39
info@vandenbergbeveiliging.nl;Van den Berg Beveiliging;beveiliging;Nederland;65;;www.vandenbergbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:39
info@bosbeveiligingsgroep.nl;BOS Beveiligingsgroep;beveiliging;Nederland;60;;www.bosbeveiligingsgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:39
info@ictmbeveiliging.nl;ICTM Beveiliging;beveiliging;Nederland;55;;www.ictmbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:39
info@keurhon.nl;Keurhon Security;beveiliging;Nederland;60;;www.keurhon.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:00
info@veiligheidsbeveiliging.nl;Veiligheid & Beveiliging BV;beveiliging;Nederland;55;;www.veiligheidsbeveiliging.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:00
info@vandelsecurity.nl;Vandel Security;beveiliging;Nederland;65;;www.vandelsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:00
info@tgsecurity.nl;TG Security;beveiliging;Nederland;55;;www.tgsecurity.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:00
info@fortress-security.nl;Fortress Security;beveiliging;Nederland;52;;www.fortress-security.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:00
