email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@snel.com;Snel.com;bezorgdienst;Nederland;510;;www.snel.com;60;98;discovered;;ai_discovery;2026-03-23 09:18:42
info@pickup.nl;Pickup.nl;bezorgdienst;Nederland;420;;www.pickup.nl;60;98;discovered;;ai_discovery;2026-03-23 09:18:42
info@bpostgroup.com;Bpost Express;bezorgdienst;Nederland;680;;www.bpostgroup.com;60;98;discovered;;ai_discovery;2026-03-23 09:18:44
info@eurologistics.nl;Euro Logistics;bezorgdienst;Nederland;200;;www.eurologistics.nl;60;98;discovered;;ai_discovery;2026-03-23 09:18:44
info@xldelivery.nl;XL Delivery;bezorgdienst;Nederland;520;;www.xldelivery.nl;60;98;discovered;;ai_discovery;2026-03-23 09:56:08
info@transfollow.nl;TransFollow;bezorgdienst;Nederland;410;;www.transfollow.nl;60;97;discovered;;ai_discovery;2026-03-23 09:56:08
info@interlake.nl;Interlake Logistics;bezorgdienst;Nederland;450;;www.interlake.nl;60;96;discovered;;ai_discovery;2026-03-23 09:18:41
info@bertkoreman.nl;Bert Koreman Logistiek;bezorgdienst;Nederland;220;;www.bertkoreman.nl;60;96;discovered;;ai_discovery;2026-03-23 09:18:41
info@matlog.nl;Matlog;bezorgdienst;Nederland;450;;www.matlog.nl;60;96;discovered;;ai_discovery;2026-03-23 09:18:44
info@rapidexpress.nl;Rapid Express;bezorgdienst;Nederland;360;;www.rapidexpress.nl;60;96;discovered;;ai_discovery;2026-03-23 09:56:08
info@parcelmiles.nl;Parcelmiles;bezorgdienst;Nederland;290;;www.parcelmiles.nl;60;95;discovered;;ai_discovery;2026-03-23 09:56:08
info@ecomexpress.nl;ECOM Express;bezorgdienst;Nederland;205;;www.ecomexpress.nl;60;94;discovered;;ai_discovery;2026-03-23 09:18:42
info@pall-ex.com;Pall-Ex;bezorgdienst;Nederland;420;;www.pall-ex.com;60;94;discovered;;ai_discovery;2026-03-23 09:18:44
info@kroonlogistics.nl;Kroon Logistics;bezorgdienst;Nederland;250;;www.kroonlogistics.nl;60;94;discovered;;ai_discovery;2026-03-23 09:56:13
info@spotlessdelivery.nl;Spotless Delivery;bezorgdienst;Nederland;240;;www.spotlessdelivery.nl;60;93;discovered;;ai_discovery;2026-03-23 09:56:08
info@fleurdelys.nl;Fleur de Lys Logistics;bezorgdienst;Nederland;180;;www.fleurdelys.nl;60;92;discovered;;ai_discovery;2026-03-23 09:18:42
info@fiege.com;Fiege;bezorgdienst;Nederland;350;;www.fiege.com;60;92;discovered;;ai_discovery;2026-03-23 09:18:44
info@asglogistics.nl;ASG Logistics;bezorgdienst;Nederland;160;;www.asglogistics.nl;60;92;discovered;;ai_discovery;2026-03-23 09:18:44
info@flexportexpress.nl;Flexport Express;bezorgdienst;Nederland;110;;www.flexportexpress.nl;60;92;discovered;;ai_discovery;2026-03-23 09:18:44
info@kobologistics.nl;Kobo Logistics;bezorgdienst;Nederland;145;;www.kobologistics.nl;60;92;discovered;;ai_discovery;2026-03-23 09:18:44
info@vanexpress.nl;VAN Express;bezorgdienst;Nederland;195;;www.vanexpress.nl;60;92;discovered;;ai_discovery;2026-03-23 09:56:08
info@wespeed.nl;WeSpeed Logistics;bezorgdienst;Nederland;285;;www.wespeed.nl;60;92;discovered;;ai_discovery;2026-03-23 09:56:08
info@sameday.nl;Sameday Express;bezorgdienst;Nederland;320;;www.sameday.nl;60;91;discovered;;ai_discovery;2026-03-23 09:18:41
info@tranzit.nl;Tranzit;bezorgdienst;Nederland;135;;www.tranzit.nl;60;90;discovered;;ai_discovery;2026-03-23 09:18:44
info@transoflex.nl;Trans-O-Flex;bezorgdienst;Nederland;350;;www.transoflex.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@gammaexpress.nl;Gamma Express;bezorgdienst;Nederland;250;;www.gammaexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@puurservice.nl;Puur Bezorgservice;bezorgdienst;Nederland;120;;www.puurservice.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@citylink.nl;City Link;bezorgdienst;Nederland;280;;www.citylink.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
support@deliveroo.nl;Deliveroo Netherlands;bezorgdienst;Nederland;2000;;www.deliveroo.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@logisticsplus.nl;Logistics Plus;bezorgdienst;Nederland;275;;www.logisticsplus.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@brouwersbezorging.nl;BrouwersBezorging;bezorgdienst;Nederland;85;;www.brouwersbezorging.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@nextlogic.nl;Nextlogic;bezorgdienst;Nederland;310;;www.nextlogic.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:23
info@directalogistics.nl;Directa Logistics;bezorgdienst;Nederland;250;;www.directalogistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:36
info@acvtransport.nl;ACV Transport;bezorgdienst;Nederland;180;;www.acvtransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@snel.nl;Snel;bezorgdienst;Nederland;120;;www.snel.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@pakketnet.nl;Pakketnet;bezorgdienst;Nederland;95;;www.pakketnet.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@euroline.nl;Euroline;bezorgdienst;Nederland;280;;www.euroline.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@btslogistics.nl;BTS Logistics;bezorgdienst;Nederland;140;;www.btslogistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@nierstransport.nl;Nierstransport;bezorgdienst;Nederland;175;;www.nierstransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@transvalue.nl;TransValue;bezorgdienst;Nederland;165;;www.transvalue.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@polva.nl;Polva;bezorgdienst;Nederland;110;;www.polva.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@fraenkische.nl;Fraenkische Transport;bezorgdienst;Nederland;320;;www.fraenkische.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@fgtransport.nl;FG Transport;bezorgdienst;Nederland;145;;www.fgtransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@tlclogistics.nl;TLC Logistics;bezorgdienst;Nederland;190;;www.tlclogistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@anvotransport.nl;ANVO Transport;bezorgdienst;Nederland;155;;www.anvotransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:36:37
info@bezorgnet.nl;Bezorgnet;bezorgdienst;Nederland;450;;www.bezorgnet.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@cycloonexpress.nl;CycloonExpress;bezorgdienst;Nederland;320;;www.cycloonexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@intuitive-logistics.nl;Intuitive Logistics;bezorgdienst;Nederland;280;;www.intuitive-logistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@jetpack.nl;JetPack Express;bezorgdienst;Nederland;420;;www.jetpack.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@keurheen.nl;Keurheen Logistics;bezorgdienst;Nederland;220;;www.keurheen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@lda.nl;Logistieke Diensten Amsterdam;bezorgdienst;Nederland;380;;www.lda.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@myparcel.nl;MyParcel;bezorgdienst;Nederland;1200;;www.myparcel.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@nanosexpress.nl;Nanos Express;bezorgdienst;Nederland;340;;www.nanosexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@orange-logistics.nl;Orange Logistics;bezorgdienst;Nederland;650;;www.orange-logistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@urgentexpress.nl;UrgentExpress;bezorgdienst;Nederland;180;;www.urgentexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:08
info@fedor.nl;Fedor Logistics;bezorgdienst;Nederland;450;;www.fedor.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
info@stunextday.nl;StuNextday;bezorgdienst;Nederland;220;;www.stunextday.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
logistics@ubereats.com;UberEats Logistics;bezorgdienst;Nederland;600;;www.ubereats.com;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
logistics@ah.nl;Albert Heijn Logistics;bezorgdienst;Nederland;850;;www.ah.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
info@gehelehuis.nl;Gehele Huis Logistics;bezorgdienst;Nederland;180;;www.gehelehuis.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
info@directexpress.nl;Direct Express;bezorgdienst;Nederland;120;;www.directexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
info@easypost.nl;EasyPost;bezorgdienst;Nederland;95;;www.easypost.nl;60;80;discovered;;ai_discovery;2026-03-23 10:15:37
info@deltec.nl;Deltec Logistics;bezorgdienst;Nederland;350;;www.deltec.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@getflink.com;Flink;bezorgdienst;Nederland;250;;www.getflink.com;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@perfetti.nl;Perfetti Van Melle Logistics;bezorgdienst;Nederland;180;;www.perfetti.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@wijnnebar.nl;Wijnne Barends;bezorgdienst;Nederland;380;;www.wijnnebar.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@gebroeders-weijn.nl;Gebroeders Weijn;bezorgdienst;Nederland;160;;www.gebroeders-weijn.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@kooijman.nl;Kooijman Logistics;bezorgdienst;Nederland;290;;www.kooijman.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@seurhuis.nl;Seurhuis Logistics;bezorgdienst;Nederland;210;;www.seurhuis.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@dronten.nl;Dronten Logistics;bezorgdienst;Nederland;175;;www.dronten.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@zieglergroup.nl;Ziegler Group;bezorgdienst;Nederland;125;;www.zieglergroup.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@vanaspen.nl;Van Aspen Logistics;bezorgdienst;Nederland;95;;www.vanaspen.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:05
info@inpost.nl;Kiala/InPost;bezorgdienst;Nederland;650;;www.inpost.nl;60;80;discovered;;ai_discovery;2026-03-23 10:35:06
info@parcela.nl;Parcela;bezorgdienst;Nederland;280;;www.parcela.nl;60;80;discovered;;ai_discovery;2026-03-23 10:35:06
info@speed4trade.nl;Speed4Trade;bezorgdienst;Nederland;150;;www.speed4trade.nl;60;80;discovered;;ai_discovery;2026-03-23 10:35:06
info@flycatcher.eu;Flycatcher;bezorgdienst;Nederland;200;;www.flycatcher.eu;60;80;discovered;;ai_discovery;2026-03-23 10:35:06
