email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@bamgroup.nl;Royal BAM Group;bouw;Utrecht;400;;www.bamgroup.nl;0;98;new;;ai_knowledge;2026-03-18 14:19:23
info@ballastnedam.nl;Ballast Nedam;bouw;Amsterdam;350;;www.ballastnedam.nl;0;97;new;;ai_knowledge;2026-03-18 10:36:21
info@koppert.nl;Koppert Construct;bouw;Nederland;160;;www.koppertconstruct.nl;60;96;discovered;;ai_discovery;2026-03-23 10:13:38
info@volkerwessels.nl;Volker Wessels;bouw;Amsterdam;400;;www.volkerwessels.nl;0;96;new;;ai_knowledge;2026-03-18 10:36:12
info@besix.nl;Besix Nederland;bouw;Amsterdam;140;;www.besix.nl;0;96;new;;ai_knowledge;2026-03-18 10:36:21
info@bamgroup.com;BAM Construct;bouw;Utrecht;200;;www.bamgroup.com;0;96;new;;ai_knowledge;2026-03-18 11:44:53
info@vangeldergroup.nl;Van Gelder Group;bouw;Groningen;280;;www.vangeldergroup.nl;0;96;new;;ai_knowledge;2026-03-18 12:04:53
info@vobisinfra.nl;Vobis Infra;bouw;Utrecht;165;;www.vobisinfra.nl;0;96;new;;ai_knowledge;2026-03-18 14:19:23
info@visser-smit.nl;Visser & Smit Hanab;bouw;Nederland;210;;www.visser-smit.nl;60;95;discovered;;ai_discovery;2026-03-23 09:34:34
info@verheijden.nl;Koninklijke Verheijden;bouw;Nederland;110;;www.verheijden.nl;60;95;discovered;;ai_discovery;2026-03-23 10:33:06
info@ixas.nl;IXAS;bouw;Rotterdam;130;;www.ixas.nl;0;95;new;;ai_knowledge;2026-03-18 10:36:12
info@damen.nl;Damen Shipyards;bouw;Gorinchem;200;;www.damen.nl;0;95;new;;ai_knowledge;2026-03-18 10:36:13
info@hollandsebouw.nl;Hollandse Bouw;bouw;Rotterdam;130;;www.hollandsebouw.nl;0;95;new;;ai_knowledge;2026-03-18 13:53:44
info@visser-bouw.nl;Visser Bouwgroep;bouw;Nederland;105;;www.visser-bouw.nl;60;94;discovered;;ai_discovery;2026-03-23 09:03:46
info@wijbo.nl;Wijbo;bouw;Nederland;135;;www.wijbo.nl;60;94;discovered;;ai_discovery;2026-03-23 09:03:46
info@bamnatie.nl;BAM Natie;bouw;Nederland;180;;www.bamnatie.nl;60;94;discovered;;ai_discovery;2026-03-23 09:34:22
info@vosbv.nl;Koninklijke Vos Logistics;bouw;Nederland;200;;www.vosbv.nl;60;94;discovered;;ai_discovery;2026-03-23 09:34:34
info@emslandgroep.nl;Emsland Groep;bouw;Nederland;130;;www.emslandgroep.nl;60;94;discovered;;ai_discovery;2026-03-23 09:34:34
info@bam.eu;Koninklijke Bam Groep;bouw;Nederland;220;;www.bam.eu;60;94;discovered;;ai_discovery;2026-03-23 09:54:11
info@hazemeyer.nl;Hazemeyer;bouw;Nederland;140;;www.hazemeyer.nl;60;94;discovered;;ai_discovery;2026-03-23 10:13:38
info@zijlstra.nl;Zijlstra Bouwbedrijf;bouw;Nederland;95;;www.zijlstra.nl;60;94;discovered;;ai_discovery;2026-03-23 10:13:38
contact@bam.nl;Koninklijke BAM Groep;bouw;Nederland;175;;www.bam.nl;60;94;discovered;;ai_discovery;2026-03-23 10:14:06
info@marconi.nl;Marconi;bouw;Nederland;95;;www.marconi.nl;60;94;discovered;;ai_discovery;2026-03-23 10:33:06
info@heijmans.nl;Heijmans;bouw;Rosmalen;380;;www.heijmans.nl;0;94;new;;ai_knowledge;2026-03-18 10:36:12
info@boskalis.nl;Boskalis;bouw;Papendrecht;320;;www.boskalis.nl;0;94;new;;ai_knowledge;2026-03-18 10:36:12
info@muddebouw.nl;Aannemersbedrijf Rotterdam;bouw;Rotterdam;100;0 0 24 24;https://www.muddebouw.nl/lp/aannemersbedrijf-rotterdam/;0;94;new;;web_scrape;2026-03-18 10:36:13
info@besixnederland.nl;Besix Nederland;bouw;Amsterdam;185;;www.besixnederland.nl;0;94;new;;ai_knowledge;2026-03-18 11:03:14
info@boskalis.com;Koninklijke Boskalis;bouw;Dordrecht;170;;www.boskalis.com;0;94;new;;ai_knowledge;2026-03-18 11:25:56
info@strukton.com;Strukton;bouw;Utrecht;180;;www.strukton.com;0;94;new;;ai_knowledge;2026-03-18 11:44:53
info@volkerinfra.nl;Volker Infra;bouw;Rotterdam;100;;www.volkerinfra.nl;0;94;new;;ai_knowledge;2026-03-18 11:44:53
info@quobouw.nl;Qucobouw;bouw;Amsterdam;95;;www.quobouw.nl;0;94;new;;ai_knowledge;2026-03-18 12:04:53
info@kondorwessels.nl;Kondor Wessels;bouw;Utrecht;165;;www.kondorwessels.nl;0;94;new;;ai_knowledge;2026-03-18 12:04:53
info@bamconstruct.nl;Bam Construct;bouw;Utrecht;150;;www.bamconstruct.nl;0;94;new;;ai_knowledge;2026-03-18 12:04:59
info@brunelgroup.nl;Brunel;bouw;The Hague;125;;www.brunelgroup.nl;0;94;new;;ai_knowledge;2026-03-18 12:04:59
info@royalbamgroup.nl;Royal BAM Group;bouw;Utrecht;350;;www.royalbamgroup.nl;0;94;new;;ai_knowledge;2026-03-18 12:24:39
info@strukton-eng.nl;Strukton Engineering;bouw;Utrecht;165;;www.strukton-eng.nl;0;94;new;;ai_knowledge;2026-03-18 12:24:39
info@durainfra.nl;Dura Vermeer Infra;bouw;Rotterdam;200;;www.durainfra.nl;0;94;new;;ai_knowledge;2026-03-18 13:53:44
info@vanderplaats.nl;Van der Plaats Infra;bouw;Maasdam;155;;www.vanderplaats.nl;0;94;new;;ai_knowledge;2026-03-18 14:19:23
info@mertens-grondwerken.nl;Grondwerken Mertens;bouw;Nederland;125;;www.mertens-grondwerken.nl;60;93;discovered;;ai_discovery;2026-03-23 09:03:46
info@rebelgroup.nl;Rebelgroup;bouw;Nederland;135;;www.rebelgroup.nl;60;93;discovered;;ai_discovery;2026-03-23 09:07:45
info@boskalisciviel.nl;Boskalis Infratech;bouw;Nederland;125;;www.boskalisciviel.nl;60;93;discovered;;ai_discovery;2026-03-23 09:07:45
info@schippergroep.nl;Schipper Groep;bouw;Nederland;165;;www.schippergroep.nl;60;93;discovered;;ai_discovery;2026-03-23 09:34:34
info@bergman-constructions.nl;Bergman Constructions;bouw;Nederland;125;;www.bergman-constructions.nl;60;93;discovered;;ai_discovery;2026-03-23 09:34:34
info@bamgroep.nl;Koninklijke Bam Groep;bouw;Nederland;130;;www.bamgroep.nl;60;93;discovered;;ai_discovery;2026-03-23 10:33:05
info@duravermeer.nl;Dura Vermeer;bouw;Rotterdam;320;;www.duravermeer.nl;0;93;new;;ai_knowledge;2026-03-18 10:36:12
info@vandewalle.nl;Van de Walle Groep;bouw;Gouda;200;;www.vandewalle.nl;0;93;new;;ai_knowledge;2026-03-18 10:36:12
info@witteveenbos.nl;Witteveen+Bos;bouw;Deventer;160;;www.witteveenbos.nl;0;93;new;;ai_knowledge;2026-03-18 10:36:13
info@huijbregts.nl;Huijbregts;bouw;Eindhoven;180;;www.huijbregts.nl;0;93;new;;ai_knowledge;2026-03-18 11:03:14
info@schipperholding.nl;Schipper Holding;bouw;Amsterdam;120;;www.schipperholding.nl;0;93;new;;ai_knowledge;2026-03-18 11:03:14
info@volker-wessels.nl;Volker Wessels;bouw;Amsterdam;140;;www.volker-wessels.nl;0;93;new;;ai_knowledge;2026-03-18 11:44:44
info@cofely.nl;Cofely;bouw;Amsterdam;85;;www.cofely.nl;0;93;new;;ai_knowledge;2026-03-18 11:44:53
info@bamciviel.nl;Bam Civiel;bouw;Amsterdam;95;;www.bamciviel.nl;0;93;new;;ai_knowledge;2026-03-18 11:44:53
info@hakkers.nl;Hakkers Bouwgroep;bouw;Breda;120;;www.hakkers.nl;0;93;new;;ai_knowledge;2026-03-18 12:04:53
info@taigabouw.nl;Taiga Bouw;bouw;Amsterdam;110;;www.taigabouw.nl;0;93;new;;ai_knowledge;2026-03-18 14:19:23
info@janssendejong.nl;Janssen de Jong;bouw;Nederland;150;;www.janssendejong.nl;60;92;discovered;;ai_discovery;2026-03-23 09:34:22
info@herge-civiel.nl;Hergé Civiel;bouw;Nederland;120;;www.herge-civiel.nl;60;92;discovered;;ai_discovery;2026-03-23 10:13:38
info@bam.nl;Bam Bouw;bouw;Utrecht;450;;www.bam.nl;0;92;new;;ai_knowledge;2026-03-18 10:36:12
info@savoybouw.nl;Savoy Bouw;bouw;Amsterdam;120;;www.savoybouw.nl;0;92;new;;ai_knowledge;2026-03-18 10:36:12
info@volkerwessels.com;VolkerWessels;bouw;Amsterdam;160;;www.volkerwessels.com;0;92;new;;ai_knowledge;2026-03-18 11:44:53
info@vissersmit.nl;Visser Smit Hanab;bouw;Purmerend;140;;www.vissersmit.nl;0;92;new;;ai_knowledge;2026-03-18 12:04:53
info@zevenbergenbouw.nl;Zevenbergen Bouw;bouw;Rotterdam;92;;www.zevenbergenbouw.nl;0;92;new;;ai_knowledge;2026-03-18 12:04:53
info@hbbgroep.nl;HBB Groep;bouw;Rotterdam;98;;www.hbbgroep.nl;0;92;new;;ai_knowledge;2026-03-18 12:04:59
info@wfnederland.nl;Wayss & Freytag Nederland;bouw;Amsterdam;175;;www.wfnederland.nl;0;92;new;;ai_knowledge;2026-03-18 12:24:39
info@kbm.nl;Koninklijke Bam Maatschappij;bouw;Utrecht;220;;www.kbm.nl;0;92;new;;ai_knowledge;2026-03-18 12:24:39
info@wildebouw.nl;Bouwbedrijf De Wilde;bouw;Amsterdam;94;;www.wildebouw.nl;0;92;new;;ai_knowledge;2026-03-18 12:24:39
info@cazemier.nl;Cazemier Groep;bouw;Hoorn;110;;www.cazemier.nl;0;92;new;;ai_knowledge;2026-03-18 13:53:44
info@wijbouw.nl;Wij Bouw;bouw;Utrecht;105;;www.wijbouw.nl;0;92;new;;ai_knowledge;2026-03-18 13:53:44
info@allstateinfra.nl;Allstate Infra;bouw;Alkmaar;145;;www.allstateinfra.nl;0;92;new;;ai_knowledge;2026-03-18 14:19:23
info@icopal.nl;ICOPAL Nederland;bouw;Nederland;95;;www.icopal.nl;60;91;discovered;;ai_discovery;2026-03-23 09:07:45
info@cofra.nl;Cofra Saboq;bouw;Nederland;105;;www.cofra.nl;60;91;discovered;;ai_discovery;2026-03-23 09:07:45
info@vinciconstruction.nl;Vinci Construction Nederland;bouw;Nederland;125;;www.vinciconstruction.nl;60;91;discovered;;ai_discovery;2026-03-23 09:07:49
info@hegemangroep.nl;Hegeman Groep;bouw;Nederland;145;;www.hegemangroep.nl;60;91;discovered;;ai_discovery;2026-03-23 09:34:34
info@gouwbouw.nl;Gouw Bouw;bouw;Nederland;85;;www.gouwbouw.nl;60;91;discovered;;ai_discovery;2026-03-23 10:13:38
info@ballast-nedam.nl;Ballast Nedam;bouw;Amsterdam;250;;www.ballast-nedam.nl;0;91;new;;ai_knowledge;2026-03-18 10:36:12
info@tinde.nl;Tinde;bouw;Amsterdam;110;;www.tinde.nl;0;91;new;;ai_knowledge;2026-03-18 10:36:12
info@mourik.nl;Mourik;bouw;Ridderkerk;180;;www.mourik.nl;0;91;new;;ai_knowledge;2026-03-18 10:36:12
info@vangeldergroep.nl;Van Gelder Groep;bouw;Gouda;150;;www.vangeldergroep.nl;0;91;new;;ai_knowledge;2026-03-18 11:03:14
info@levelinfra.nl;Levvel Infra;bouw;Rotterdam;125;;www.levelinfra.nl;0;91;new;;ai_knowledge;2026-03-18 11:03:14
info@fugro.nl;Fugro;bouw;Leidschendam;80;;www.fugro.nl;0;91;new;;ai_knowledge;2026-03-18 11:44:44
info@mobydick.nl;MobyDick Offshore;bouw;Rotterdam;80;;www.mobydick.nl;0;91;new;;ai_knowledge;2026-03-18 11:44:53
info@smenco.nl;Smenco;bouw;Amsterdam;92;;www.smenco.nl;0;91;new;;ai_knowledge;2026-03-18 12:04:59
info@mourikbouw.nl;Mourik Bouw;bouw;Alblasserdam;140;;www.mourikbouw.nl;0;91;new;;ai_knowledge;2026-03-18 12:24:39
info@heijdam.nl;Bouwgroep Heijdam;bouw;Rotterdam;168;;www.heijdam.nl;0;91;new;;ai_knowledge;2026-03-18 12:24:39
info@fcc.nl;FCC Construction;bouw;Arnhem;145;;www.fcc.nl;0;91;new;;ai_knowledge;2026-03-18 13:53:44
info@spaeter.nl;Spaeter Bouw;bouw;Arnhem;120;;www.spaeter.nl;0;91;new;;ai_knowledge;2026-03-18 14:19:23
info@rotobouw.nl;Roto Smeets Bouw;bouw;Haarlem;130;;www.rotobouw.nl;0;91;new;;ai_knowledge;2026-03-18 14:19:23
info@tencate.nl;Tencate;bouw;Nederland;120;;www.tencate.nl;60;90;discovered;;ai_discovery;2026-03-23 09:03:46
info@skanska.nl;Skanska Nederland;bouw;Nederland;125;;www.skanska.nl;60;90;discovered;;ai_discovery;2026-03-23 09:03:57
info@jansenpoortman.nl;Jansen Poortman;bouw;Nederland;102;;www.jansenpoortman.nl;60;90;discovered;;ai_discovery;2026-03-23 09:07:45
info@nussbaum.nl;Nussbaum;bouw;Nederland;98;;www.nussbaum.nl;60;90;discovered;;ai_discovery;2026-03-23 09:34:22
info@vandersanden.nl;Vandersanden Bouw;bouw;Nederland;120;;www.vandersanden.nl;60;90;discovered;;ai_discovery;2026-03-23 09:34:34
info@strukton.nl;Strukton;bouw;Utrecht;280;;www.strukton.nl;0;90;new;;ai_knowledge;2026-03-18 10:36:12
info@spaanbouw.nl;Spaan Bouw;bouw;Rotterdam;75;;www.spaanbouw.nl;0;90;new;;ai_knowledge;2026-03-18 10:36:13
info@bamrail.nl;Bam Rail;bouw;Utrecht;95;;www.bamrail.nl;0;90;new;;ai_knowledge;2026-03-18 10:36:22
info@achmeabouw.nl;Achmea Bouw;bouw;Utrecht;130;;www.achmeabouw.nl;0;90;new;;ai_knowledge;2026-03-18 11:03:14
info@oranjewoud.nl;Oranjewoud;bouw;Heerenveen;150;;www.oranjewoud.nl;0;90;new;;ai_knowledge;2026-03-18 11:26:06
info@kvk-bouw.nl;Koninklijke Vereenigde;bouw;Rotterdam;95;;www.kvk-bouw.nl;0;90;new;;ai_knowledge;2026-03-18 11:26:06
info@roodhooft.nl;Roodhooft Groep;bouw;Maassluis;130;;www.roodhooft.nl;0;90;new;;ai_knowledge;2026-03-18 11:26:06
info@renovam.nl;Renovam;bouw;Amsterdam;70;;www.renovam.nl;0;90;new;;ai_knowledge;2026-03-18 11:26:06
info@bouwgroepdaman.nl;Bouwgroep Daman;bouw;Rotterdam;75;;www.bouwgroepdaman.nl;0;90;new;;ai_knowledge;2026-03-18 11:26:06
