email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@apetito.nl;Apetito Nederland;catering;Nederland;120;;www.apetito.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@degroengarantie.nl;De Groene Garantie;catering;Nederland;85;;www.degroengarantie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@flavours.nl;Flavours Corporate Catering;catering;Nederland;60;;www.flavours.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@asrcatering.nl;ASR Catering Services;catering;Nederland;75;;www.asrcatering.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@kdvcatering.nl;KDV Catering;catering;Nederland;55;;www.kdvcatering.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@dionecatering.nl;Dione Catering;catering;Nederland;70;;www.dionecatering.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@culinarillogistics.nl;Culinair Logistics;catering;Nederland;80;;www.culinairlogistics.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@bimoscatering.nl;Bimos Catering;catering;Nederland;55;;www.bimoscatering.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@menudis.nl;Menudis Catering;catering;Nederland;60;;www.menudis.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@grandcatering.nl;Grand Catering;catering;Nederland;55;;www.grandcatering.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@horecainnovatie.nl;Horeca Innovatie Nederland;catering;Nederland;70;;www.horecainnovatie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@restaurantservicegroup.nl;Restaurant Service Group;catering;Nederland;65;;www.restaurantservicegroup.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@mealsonwheels.nl;Meals on Wheels Nederland;catering;Nederland;90;;www.mealsonwheels.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:18
info@horecapartners.nl;Horeca Partners Nederland;catering;Nederland;85;;www.horecapartners.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:32
info@thecateringcompany.nl;The Catering Company;catering;Nederland;55;;www.thecateringcompany.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:27
