email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@dakwerkgroepnederland.nl;Dakwerk Groep Nederland;dakdekker;Nederland;45;;www.dakwerkgroepnederland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@vanderlindendakdekkers.nl;Van der Linden Dakdekkers;dakdekker;Nederland;28;;www.vanderlindendakdekkers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@dekkerenzonen.nl;Dekker & Zonen Dakbedekking;dakdekker;Nederland;35;;www.dekkerenzonen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@burodakdekkers.nl;Buro Dakdekkersbedrijf;dakdekker;Nederland;22;;www.burodakdekkers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@molenaardak.nl;Molenaar Dak Services;dakdekker;Nederland;24;;www.molenaardak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@pondakdekkers.nl;Pon Dakdekkers;dakdekker;Nederland;31;;www.pondakdekkers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@herfkensdak.nl;Herfkens Daksystemen;dakdekker;Nederland;26;;www.herfkensdak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@dubbelmandak.nl;Dubbelman Dakwerken;dakdekker;Nederland;23;;www.dubbelmandak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@pietersdak.nl;Pieters & Partners Dak;dakdekker;Nederland;21;;www.pietersdak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@vandorendak.nl;Van Dooren Daksystemen;dakdekker;Nederland;25;;www.vandorendak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@lambbrechtsdak.nl;Lambrechts Dakwerken;dakdekker;Nederland;22;;www.lambbrechtsdak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@moeijesdak.nl;Moeijes Dakbedekking;dakdekker;Nederland;24;;www.moeijesdak.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:33
info@dakelingen.nl;Dakelingen Groep;dakdekker;Nederland;22;;www.dakelingen.nl;60;70;discovered;;ai_discovery;2026-03-23 10:18:12
info@vdgdakdekking.nl;VDG Dakdekking;dakdekker;Nederland;18;;www.vdgdakdekking.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@hermannsdakwerken.nl;Hermans Dakwerken;dakdekker;Nederland;19;;www.hermannsdakwerken.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@wijnkoopdak.nl;Dakbedekking Wijnkoop;dakdekker;Nederland;15;;www.wijnkoopdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@danielsdak.nl;Daniels Dakbedekking;dakdekker;Nederland;20;;www.danielsdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@strijlanddak.nl;Strijland Dakdekkers;dakdekker;Nederland;17;;www.strijlanddak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@zondagdak.nl;Zondag Dakdekking;dakdekker;Nederland;16;;www.zondagdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@boontjesdak.nl;Boontjes Dakbedekking;dakdekker;Nederland;19;;www.boontjesdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@heijdendak.nl;Heijden Dakdekkers;dakdekker;Nederland;14;;www.heijdendak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@kroondak.nl;Kroon Dakbedekking;dakdekker;Nederland;18;;www.kroondak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@palsbroekdak.nl;Palsbroek Dakdekking;dakdekker;Nederland;13;;www.palsbroekdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@schepensdak.nl;Schepens Dak & Gevel;dakdekker;Nederland;20;;www.schepensdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@geurdsdak.nl;Geurds Dakdekkers;dakdekker;Nederland;17;;www.geurdsdak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@terpstradak.nl;Terpstra Dakwerken;dakdekker;Nederland;15;;www.terpstradak.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:33
info@dakengevelgroep.nl;Dak en Gevel Groep;dakdekker;Nederland;15;;www.dakengevelgroep.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:37
info@htdakwerken.nl;HT Dakwerken;dakdekker;Nederland;10;;www.htdakwerken.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:37
