email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@technischeunie.nl;Technische Unie;elektricien;Nederland;65;;www.technischeunie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:38:45
info@elektrogroep.nl;Elektro Groep Nederland;elektricien;Den Haag;20;;www.elektrogroep.nl;0;72;new;;ai_knowledge;2026-03-18 13:20:12
info@eaton.nl;Eaton Elektrotechniek;elektricien;Nederland;25;;www.eaton.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:25
info@rexel.nl;Rexel Nederland;elektricien;Nederland;22;;www.rexel.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:25
info@elektriciteitswerk-smit.nl;Elektriciteitswerk Pieter Smit;elektricien;Nederland;22;;www.elektriciteitswerk-smit.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:19
info@stork-elektro.nl;Stork Elektrotechniek;elektricien;Nederland;25;;www.stork-elektro.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:19
info@delas.nl;Delas Elektrotechniek;elektricien;Nederland;28;;www.delas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@elektrogroepnederland.nl;Elektro Groep Nederland;elektricien;Nederland;35;;www.elektrogroepnederland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@driessen-et.nl;Driessen Elektrotechniek;elektricien;Nederland;32;;www.driessen-et.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@muldox.nl;Muldox Elektro;elektricien;Nederland;24;;www.muldox.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@pieters-elektro.nl;Pieters Elektro;elektricien;Nederland;27;;www.pieters-elektro.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@deridder-et.nl;De Ridder Elektrotechniek;elektricien;Nederland;21;;www.deridder-et.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@elektropost.nl;Elektro Post Nederland;elektricien;Nederland;38;;www.elektropost.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@keulen-et.nl;Keulen Elektrotechniek;elektricien;Nederland;25;;www.keulen-et.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@hollandelektroservices.nl;Holland Elektro Services;elektricien;Nederland;41;;www.hollandelektroservices.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@versluijs-elektro.nl;Versluijs Elektro;elektricien;Nederland;26;;www.versluijs-elektro.nl;60;70;discovered;;ai_discovery;2026-03-23 09:38:45
info@imtech-elektro.nl;Imtech Elektro;elektricien;Nederland;25;;www.imtech-elektro.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:32
info@elektroservicenederland.nl;Elektro Service Nederland;elektricien;Nederland;25;;www.elektroservicenederland.nl;60;70;discovered;;ai_discovery;2026-03-23 10:17:53
info@stibbe-elektro.nl;Stibbe Elektro;elektricien;Nederland;22;;www.stibbe-elektro.nl;60;70;discovered;;ai_discovery;2026-03-23 10:17:53
