email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@volvogarageams.nl;Volvo Garage Amsterdam;garage;Nederland;56;;www.volvogarageams.nl;60;80;discovered;;ai_discovery;2026-03-23 10:00:24
info@fleetmaint.nl;Fleet Maintenance Europe;garage;Nederland;62;;www.fleetmaint.nl;60;80;discovered;;ai_discovery;2026-03-23 10:00:24
info@manservice.nl;MAN Truck Service Centrum;garage;Nederland;58;;www.manservice.nl;60;80;discovered;;ai_discovery;2026-03-23 10:00:24
info@garagestevens.nl;Garage Stevens;garage;Nederland;22;;www.garagestevens.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:46
info@autocentervandijk.nl;AutoCenter van Dijk;garage;Nederland;25;;www.autocentervandijk.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:46
info@bedrijfswagenseervice.nl;Bedrijfswagen Service Nederland;garage;Nederland;30;;www.bedrijfswagenseervice.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:46
info@autobedrijfdevries.nl;Autobedrijf de Vries;garage;Nederland;21;;www.autobedrijfdevries.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:46
info@garagewesterhout.nl;Garage Westerhout;garage;Nederland;22;;www.garagewesterhout.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:46
info@autocentrumduitsland.nl;Autocentrum Duitsland;garage;Nederland;22;;www.autocentrumduitsland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:22:45
info@autobedrijfsmit.nl;Autobedrijf Smit;garage;Nederland;21;;www.autobedrijfsmit.nl;60;70;discovered;;ai_discovery;2026-03-23 09:22:46
info@autocentrumvisser.nl;Autocentrum Visser;garage;Nederland;24;;www.autocentrumvisser.nl;60;70;discovered;;ai_discovery;2026-03-23 09:22:46
info@autobedrijfruiter.nl;Autobedrijf Ruiter;garage;Nederland;22;;www.autobedrijfruiter.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@autobedrijfvandevelde.nl;Autobedrijf van de Velde;garage;Nederland;25;;www.autobedrijfvandevelde.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@euromaster.nl;Euromaster Nederland;garage;Nederland;45;;www.euromaster.nl;60;70;discovered;;ai_discovery;2026-03-23 09:40:22
info@atu.nl;ATU Auto Service Nederland;garage;Nederland;25;;www.atu.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:13
info@vw-centrum-amsterdam.nl;Volkswagen Centrum Amsterdam;garage;Nederland;22;;www.vw-centrum.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:14
info@eurometra.nl;Eurometra;garage;Nederland;45;;www.eurometra.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@frisauto.nl;Fris Auto;garage;Nederland;35;;www.frisauto.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@daansgarage.nl;Daan's Garage;garage;Nederland;28;;www.daansgarage.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@brilauto.nl;Bril Autowerkplaats;garage;Nederland;32;;www.brilauto.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@boschauto.nl;Bosch Automotive Service;garage;Nederland;38;;www.boschauto.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@devriezegarage.nl;Garage De Vrieze;garage;Nederland;22;;www.devriezegarage.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@mertensgarage.nl;Mertens Garage;garage;Nederland;41;;www.mertensgarage.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@speedwaygarage.nl;Speedway Garage;garage;Nederland;29;;www.speedwaygarage.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@klaasengarage.nl;Klaasen Garage;garage;Nederland;26;;www.klaasengarage.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
info@autoalmere.nl;Auto Center Almere;garage;Nederland;34;;www.autoalmere.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:24
