email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@ardaghgroup.nl;Ardagh Glass Benelux;glas;Nederland;55;;www.ardaghgroup.nl;60;80;discovered;;ai_discovery;2026-03-23 09:24:05
info@saintgobain-glas.nl;Saint-Gobain Glas Nederland;glas;Nederland;52;;www.saintgobain-glas.nl;60;80;discovered;;ai_discovery;2026-03-23 10:00:50
info@saint-gobain-glass.nl;Saint-Gobain Glass Nederland;glas;Nederland;52;;www.saint-gobain-glass.nl;60;80;discovered;;ai_discovery;2026-03-23 10:00:58
info@saint-gobain.nl;Saint-Gobain Glass Nederland;glas;Nederland;45;;www.saint-gobain.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@guardian.nl;Guardian Industries Nederland;glas;Nederland;35;;www.guardian.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@pilkington.nl;Pilkington Nederland;glas;Nederland;30;;www.pilkington.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@agcglass.nl;AGC Glass Europe Nederland;glas;Nederland;28;;www.agcglass.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@glascentrum-holland.nl;Glascentrum Holland;glas;Nederland;22;;www.glascentrum-holland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:19
info@spiegelwerk-rotterdam.nl;Spiegelwerk Rotterdam;glas;Nederland;21;;www.spiegelwerk-rotterdam.nl;60;70;discovered;;ai_discovery;2026-03-23 09:23:20
info@spiegelau.nl;Spiegelau & Nachtmann Nederland;glas;Nederland;28;;www.spiegelau.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@vandeputglas.nl;Van de Put Glas;glas;Nederland;22;;www.vandeputglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@glaverbel.nl;Glaverbel Benelux;glas;Nederland;50;;www.glaverbel.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@gerresheimer.nl;Gerresheimer Glass;glas;Nederland;42;;www.gerresheimer.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@schott.nl;Schott Nederland;glas;Nederland;32;;www.schott.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@vetropack.nl;Vetropack Nederland;glas;Nederland;40;;www.vetropack.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@mallol.nl;Vidreries Mallol;glas;Nederland;25;;www.mallol.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@libbey.nl;Libbey Inc. Benelux;glas;Nederland;30;;www.libbey.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@cristaleria.nl;Cristalería Española;glas;Nederland;24;;www.cristaleria.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@eurocareglas.nl;Eurocare Glas;glas;Nederland;28;;www.eurocareglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@seminglas.nl;Semin Glas Benelux;glas;Nederland;26;;www.seminglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@rayware.nl;Rayware Benelux;glas;Nederland;21;;www.rayware.nl;60;70;discovered;;ai_discovery;2026-03-23 09:24:05
info@europaglas.nl;Europa Glas;glas;Nederland;22;;www.europaglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:40:56
info@premiumglas.nl;Premium Glas Solutions;glas;Nederland;28;;www.premiumglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:40:56
info@transparantglas.nl;Transparant Glas BV;glas;Nederland;21;;www.transparantglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:40:56
info@vitrumglas.nl;Vitruum Glas;glas;Nederland;24;;www.vitrumglas.nl;60;70;discovered;;ai_discovery;2026-03-23 09:40:56
info@heyeglass.nl;Heye Glass;glas;Nederland;28;;www.heyeglass.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@glasplus.nl;Glasplus;glas;Nederland;22;;www.glasplus.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@salinco.nl;Salinco Glasgroep;glas;Nederland;32;;www.salinco.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@glastechned.nl;Glastech Nederland;glas;Nederland;21;;www.glastechned.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@cristalloglass.nl;Cristallo Glass;glas;Nederland;24;;www.cristalloglass.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@glasimpex.nl;Glasimpex;glas;Nederland;23;;www.glasimpex.nl;60;70;discovered;;ai_discovery;2026-03-23 09:41:49
info@diekmannglas.nl;Diekmann Glas;glas;Nederland;28;;www.diekmannglas.nl;60;70;discovered;;ai_discovery;2026-03-23 10:00:50
