email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@boelsgroen.nl;Boels Groenvoorziening;groenvoorziening;Nederland;25;;www.boelsgroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:02
info@greencaregroen.nl;GreenCare Groenvoorziening;groenvoorziening;Nederland;22;;www.greencaregroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:02
info@verstegenbv.nl;Verstegen Groenservice;groenvoorziening;Nederland;30;;www.verstegenbv.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:02
info@vandenberggroen.nl;Van den Berg Groenvoorziening;groenvoorziening;Nederland;28;;www.vandenberggroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:02
info@landscapesolutions.nl;Landscape Solutions NL;groenvoorziening;Nederland;24;;www.landscapesolutions.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:02
info@dijkstragroen.nl;Boomkwekerij & Groenvoorziening Dijkstra;groenvoorziening;Nederland;21;;www.dijkstragroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:03
info@groenrijk.nl;Groenrijk;groenvoorziening;Nederland;25;;www.groenrijk.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:03
info@bosmans.nl;Bosmans Groenvoorziening;groenvoorziening;Nederland;22;;www.bosmans.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:03
info@groenmakers.nl;Groenmakers Nederland;groenvoorziening;Nederland;21;;www.groenmakers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:03
info@groen-ug.nl;Groen Onderhoud Gelderland;groenvoorziening;Nederland;24;;www.groen-ug.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:03
info@groengroupnl.nl;Groengroep Nederland;groenvoorziening;Nederland;25;;www.groengroupnl.nl;60;70;discovered;;ai_discovery;2026-03-23 09:36:56
info@groentotaal.nl;Groen Totaal Services;groenvoorziening;Nederland;22;;www.groentotaal.nl;60;70;discovered;;ai_discovery;2026-03-23 09:36:56
info@floramanagement.nl;Flora Management;groenvoorziening;Nederland;21;;www.floramanagement.nl;60;70;discovered;;ai_discovery;2026-03-23 09:36:56
info@vandersminssen-groen.nl;Van der Smissen Groenvoorziening;groenvoorziening;Nederland;35;;www.vandersminssen-groen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@burograenplan.nl;Buro Groenplan;groenvoorziening;Nederland;22;;www.burogroenpan.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@ecorus.nl;Ecorus Groenvoorziening;groenvoorziening;Nederland;38;;www.ecorus.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@pongroen.nl;Pon Groenvoorziening;groenvoorziening;Nederland;42;;www.pongroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@smithoveniers.nl;Smit Hoveniers;groenvoorziening;Nederland;25;;www.smithoveniers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@degroenewereld.nl;De Groene Wereld;groenvoorziening;Nederland;32;;www.degroenewereld.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:25
info@landscapsbouwdekker.nl;Landschapsbouw Dekker;groenvoorziening;Nederland;29;;www.landscapsbouwdekker.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@groensamen.nl;GroenSamen;groenvoorziening;Nederland;21;;www.groensamen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@groenserviceadvies.nl;Groenservice Advies;groenvoorziening;Nederland;26;;www.groenserviceadvies.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@detuinexperts.nl;De Tuin Experts;groenvoorziening;Nederland;33;;www.detuinexperts.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@tuinworks.nl;TuinWorks Nederland;groenvoorziening;Nederland;27;;www.tuinworks.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@borgeld-tuinen.nl;Landschapstuinen Borgeld;groenvoorziening;Nederland;31;;www.borgeld-tuinen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@moermanhoveniers.nl;Hoveniersbedrijf Moerman;groenvoorziening;Nederland;23;;www.moermanhoveniers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@greensolutionsnl.nl;Green Solutions NL;groenvoorziening;Nederland;30;;www.greensolutionsnl.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@boskalisgroen.nl;Boskalis Groen;groenvoorziening;Nederland;40;;www.boskalisgroen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:56:26
info@hovenia.nl;Hovenia Groepservices;groenvoorziening;Nederland;25;;www.hovenia.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:23
info@voshoveniers.nl;Vos Hoveniers;groenvoorziening;Nederland;22;;www.voshoveniers.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@burogroenbeheer.nl;Buro Groenbeheer;groenvoorziening;Nederland;28;;www.burogroenbeheer.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@groengroupnederland.nl;Groengroep Nederland;groenvoorziening;Nederland;32;;www.groengroupnederland.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@groenadviesonderhoud.nl;Groen Advies & Onderhoud;groenvoorziening;Nederland;24;;www.groenadviesonderhoud.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@gerlachgroen.nl;Gerlach Groenvoorziening;groenvoorziening;Nederland;21;;www.gerlachgroen.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@landschapdevries.nl;Landschapsarchitecten De Vries;groenvoorziening;Nederland;26;;www.landschapdevries.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@groenwerkgieterama.nl;Groenwerk Gieterama;groenvoorziening;Nederland;23;;www.groenwerkgieterama.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@goeree-groen.nl;Goeree Groen BV;groenvoorziening;Nederland;22;;www.goeree-groen.nl;60;70;discovered;;ai_discovery;2026-03-23 10:35:27
info@bosberg.nl;Bos & Berg Groenvoorziening;groenvoorziening;Arnhem;22;;www.bosberg.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@groenplan.nl;Groenplan Nederland;groenvoorziening;Rotterdam;35;;www.groenplan.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@greencare.nl;GreenCare Groenvoorziening;groenvoorziening;Almere;28;;www.greencare.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@progroen.nl;ProGroen Hoveniers;groenvoorziening;Apeldoorn;21;;www.progroen.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@tuingroensolutions.nl;Tuin & Groen Solutions;groenvoorziening;Utrecht;24;;www.tuingroensolutions.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@dehaveniers.nl;De Hoveniers Centrale;groenvoorziening;Amersfoort;26;;www.dehaveniers.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@tuinondernemmerswestland.nl;Tuinondernemers Westland;groenvoorziening;Naaldwijk;32;;www.tuinondernemmerswestland.nl;0;70;new;;ai_knowledge;2026-03-18 12:34:57
info@vandersteengroen.nl;Van der Steen Groenvoorziening;groenvoorziening;Rotterdam;25;;www.vandersteengroen.nl;0;70;new;;ai_knowledge;2026-03-18 12:50:47
info@groenpartners.nl;Groenpartners;groenvoorziening;Eindhoven;22;;www.groenpartners.nl;0;70;new;;ai_knowledge;2026-03-18 12:50:47
info@groenbouwholland.nl;Groenbouw Holland;groenvoorziening;Utrecht;24;;www.groenbouwholland.nl;0;70;new;;ai_knowledge;2026-03-18 12:50:47
info@landscapinggroup.nl;Landscaping Group Nederland;groenvoorziening;Amsterdam;25;;www.landscapinggroup.nl;0;70;new;;ai_knowledge;2026-03-18 13:36:52
info@greencare-services.nl;GreenCare Services;groenvoorziening;Eindhoven;22;;www.greencare-services.nl;0;70;new;;ai_knowledge;2026-03-18 13:36:53
info@groendiensten.nl;Groendiensten Nederland;groenvoorziening;Rotterdam;28;;www.groendiensten.nl;0;70;new;;ai_knowledge;2026-03-18 13:36:53
info@hoveniersggroepnederland.nl;Hoveniers Groep Nederland;groenvoorziening;Nederland;45;;www.hoveniersggroepnederland.nl;60;68;discovered;;ai_discovery;2026-03-23 09:56:25
info@greencare-hoveniers.nl;GreenCare Hoveniers;groenvoorziening;Nederland;28;;www.greencare-hoveniers.nl;60;63;discovered;;ai_discovery;2026-03-23 09:56:25
info@hofmanshoveniers.nl;Hofmans Hoveniers;groenvoorziening;Nederland;18;;www.hofmanshoveniers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@degroenetuin.nl;De Groene Tuin;groenvoorziening;Nederland;15;;www.degroenetuin.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@scholtehoveniers.nl;Hoveniersbedrijf Scholte;groenvoorziening;Nederland;12;;www.scholtehoveniers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@geertshoveniers.nl;Geerts & Zonen Hoveniers;groenvoorziening;Nederland;20;;www.geertshoveniers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@tuinservicejong.nl;Tuinservice Jong;groenvoorziening;Nederland;16;;www.tuinservicejong.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@groenexpert.nl;GroenExpert;groenvoorziening;Nederland;14;;www.groenexpert.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@tuinontwerpberkhout.nl;Tuinontwerp Berkhout;groenvoorziening;Nederland;11;;www.tuinontwerpberkhout.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:02
info@hoveniersdejonge.nl;Hoveniers De Jonge;groenvoorziening;Nederland;13;;www.hoveniersdejonge.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:03
info@groenblauw.nl;Groen & Blauw;groenvoorziening;Nederland;10;;www.groenblauw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:03
info@tuinaanlegwestra.nl;Tuinaanleg Westra;groenvoorziening;Nederland;17;;www.tuinaanlegwestra.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:03
info@vandeursengroen.nl;Van Deursen Groenservice;groenvoorziening;Nederland;19;;www.vandeursengroen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:03
info@klaassenhoveniers.nl;Hoveniersbedrijf Klaassen;groenvoorziening;Nederland;15;;www.klaassenhoveniers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:19:03
