email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@volkert.nl;Volkert;installatiebedrijf;Nederland;55;;www.volkert.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@boelsrental.nl;Boels Rental;installatiebedrijf;Nederland;85;;www.boelsrental.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@gdi.nl;GDI Integrated Facility Services;installatiebedrijf;Nederland;75;;www.gdi.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@deridderinfra.nl;De Ridder Infra;installatiebedrijf;Nederland;65;;www.deridderinfra.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@actemium.nl;Actemium;installatiebedrijf;Nederland;60;;www.actemium.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@bredenoord.nl;Bredenoord;installatiebedrijf;Nederland;88;;www.bredenoord.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@vanoord.nl;Van Oord;installatiebedrijf;Nederland;165;;www.vanoord.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:00
info@bosch-thermotechniek.nl;Bosch Thermotechniek;installatiebedrijf;Nederland;52;;www.bosch-thermotechniek.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:14
info@parnassiagroep.nl;Parnassia Groep;installatiebedrijf;Nederland;65;;www.parnassiagroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:44
info@solv.nl;Solv;installatiebedrijf;Nederland;55;;www.solv.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:44
info@vdlgroep.nl;VDL Groep;installatiebedrijf;Nederland;95;;www.vdlgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:44
info@intia.nl;Intia;installatiebedrijf;Nederland;68;;www.intia.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:44
info@multiservice.nl;Multiservice;installatiebedrijf;Nederland;58;;www.multiservice.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:44
info@eltac.nl;ELTAC Elektrotechniek;installatiebedrijf;Nederland;52;;www.eltac.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:48
info@installatie-nl.nl;Installatie NL;installatiebedrijf;Nederland;67;;www.installatie-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:48
info@isa-amsterdam.nl;Installatie Service Amsterdam;installatiebedrijf;Nederland;56;;www.isa-amsterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:56:48
info@dnra.nl;DNRA;installatiebedrijf;Nederland;75;;www.dnra.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:40
info@tavciviel.nl;TAV Civiel;installatiebedrijf;Nederland;55;;www.tavciviel.nl;60;80;discovered;;ai_discovery;2026-03-23 10:16:40
