email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@parcify.nl;Parcify;koerier;Nederland;400;;www.parcify.nl;60;100;discovered;;ai_discovery;2026-03-23 09:04:31
info@metrodelivery.nl;Metro Delivery Service;koerier;Nederland;170;;www.metrodelivery.nl;60;99;discovered;;ai_discovery;2026-03-23 09:04:20
info@messengermax.nl;Messenger Max;koerier;Nederland;200;;www.messengermax.nl;60;99;discovered;;ai_discovery;2026-03-23 09:04:31
info@xllogistics.nl;XL Logistics;koerier;Nederland;250;;www.xllogistics.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:20
info@prodelivery.nl;ProDelivery Services;koerier;Nederland;120;;www.prodelivery.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:20
info@urbanexpress.nl;Urban Express Couriers;koerier;Nederland;155;;www.urbanexpress.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:20
info@eurocor.nl;Eurocor;koerier;Nederland;320;;www.eurocor.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:31
info@quickpicks.nl;QuickPicks;koerier;Nederland;250;;www.quickpicks.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:31
info@fixi.nl;Fixi;koerier;Nederland;120;;www.fixi.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:31
fulfillment@bol.com;bol.com Fulfillment;koerier;Nederland;1500;;www.bol.com;60;98;discovered;;ai_discovery;2026-03-23 09:04:31
info@amexpress.nl;AM Express;koerier;Nederland;140;;www.amexpress.nl;60;98;discovered;;ai_discovery;2026-03-23 09:04:31
info@trans-o-flex.nl;Trans-o-Flex;koerier;Nederland;200;;www.trans-o-flex.nl;60;98;discovered;;ai_discovery;2026-03-23 09:08:18
info@logistiek.nl;Logistiek.nl;koerier;Nederland;185;;www.logistiek.nl;60;98;discovered;;ai_discovery;2026-03-23 09:08:21
info@quasarlogistics.nl;Quasar Logistics;koerier;Nederland;110;;www.quasarlogistics.nl;60;98;discovered;;ai_discovery;2026-03-23 09:08:21
info@stuard.nl;Stuard;koerier;Nederland;320;;www.stuard.nl;60;98;discovered;;ai_discovery;2026-03-23 09:17:34
info@ldn.nl;Logistieke Diensten Nederland (LDN);koerier;Nederland;220;;www.ldn.nl;60;98;discovered;;ai_discovery;2026-03-23 09:17:34
info@koeriersexpress.nl;Koeriers Express;koerier;Nederland;180;;www.koeriersexpress.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:20
info@nightshift.nl;NightShift Couriers;koerier;Nederland;110;;www.nightshift.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:20
info@centrumkoeriers.nl;Centrum Koeriers;koerier;Nederland;125;;www.centrumkoeriers.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:20
logistics@coolblue.nl;Coolblue Logistics;koerier;Nederland;900;;www.coolblue.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:31
info@dynalogic.nl;DynaLogic;koerier;Nederland;210;;www.dynalogic.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:32
info@heska.nl;HesKa Transport;koerier;Nederland;320;;www.heska.nl;60;97;discovered;;ai_discovery;2026-03-23 09:08:21
info@transmissionlogistics.nl;Transmission Logistics;koerier;Nederland;340;;www.transmissionlogistics.nl;60;97;discovered;;ai_discovery;2026-03-23 09:08:21
info@snelbezorg.nl;Snel Bezorg;koerier;Nederland;95;;www.snelbezorg.nl;60;97;discovered;;ai_discovery;2026-03-23 09:08:21
info@netwerklogistiek.nl;Netwerk Logistiek;koerier;Nederland;280;;www.netwerklogistiek.nl;60;97;discovered;;ai_discovery;2026-03-23 09:17:34
info@logologistiek.nl;Logo Logistiek;koerier;Nederland;140;;www.logologistiek.nl;60;97;discovered;;ai_discovery;2026-03-23 09:17:34
info@gorenjelogistics.nl;Gorenje Logistics;koerier;Nederland;145;;www.gorenjelogistics.nl;60;97;discovered;;ai_discovery;2026-03-23 09:17:34
contact@swapfiets.nl;Swapfiets;koerier;Nederland;150;;www.swapfiets.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:20
info@directdelivery.nl;Direct Delivery;koerier;Nederland;190;;www.directdelivery.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:20
info@briefsplus.nl;BriefsPlus;koerier;Nederland;85;;www.briefsplus.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:20
info@fraytrans.nl;Fraytrans;koerier;Nederland;180;;www.fraytrans.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:31
logistics@ubereats.nl;Uber Eats Logistics;koerier;Nederland;800;;www.ubereats.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:31
business@deliveroo.nl;Deliveroo Logistics;koerier;Nederland;700;;www.deliveroo.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:31
info@logoix.nl;Logoix;koerier;Nederland;190;;www.logoix.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:31
info@brouwerst.nl;Brouwers Transport;koerier;Nederland;150;;www.brouwerst.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:18
info@eurocourier.nl;Eurocourier;koerier;Nederland;320;;www.eurocourier.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:18
info@amcologistics.nl;Amco Logistics;koerier;Nederland;145;;www.amcologistics.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:18
info@eurocall.nl;Eurocall Logistics;koerier;Nederland;280;;www.eurocall.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:21
info@speedcourier.nl;Speedcourier;koerier;Nederland;85;;www.speedcourier.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:21
info@boslogistiek.nl;Bos Logistiek;koerier;Nederland;155;;www.boslogistiek.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:21
info@pakketxl.nl;PakketXL;koerier;Nederland;175;;www.pakketxl.nl;60;96;discovered;;ai_discovery;2026-03-23 09:17:28
