email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@jdepeel.nl;JDE Peel & Co;logistiek;Nederland;250;;www.jdepeel.nl;60;98;discovered;;ai_discovery;2026-03-23 09:34:55
info@wincanton.nl;Wincanton;logistiek;Nederland;250;;www.wincanton.nl;60;98;discovered;;ai_discovery;2026-03-23 09:35:08
info@seatrade.nl;Seatrade;logistiek;Nederland;260;;www.seatrade.nl;60;98;discovered;;ai_discovery;2026-03-23 09:35:08
info@xpo.com;XPO Logistics;logistiek;Rotterdam;420;;www.xpo.com;0;98;new;;ai_knowledge;2026-03-18 11:54:57
info@maersk.nl;Maersk Nederland;logistiek;Rotterdam;320;;www.maersk.nl;0;98;new;;ai_knowledge;2026-03-18 13:16:52
info@modularlogistics.nl;Modular Logistics;logistiek;Nederland;175;;www.modularlogistics.nl;60;97;discovered;;ai_discovery;2026-03-23 09:34:55
info@logistieken.nl;Logistieken.nl;logistiek;Nederland;90;;www.logistieken.nl;60;97;discovered;;ai_discovery;2026-03-23 09:35:08
info@panalpina.com;Panalpina;logistiek;Amsterdam;280;;www.panalpina.com;0;97;new;;ai_knowledge;2026-03-18 11:54:57
info@cevalogistics.com;Ceva Logistics Netherlands;logistiek;Rotterdam;310;;www.cevalogistics.com;0;97;new;;ai_knowledge;2026-03-18 11:54:57
info@everstream.nl;Everstream Analytics;logistiek;Nederland;85;;www.everstream.nl;60;96;discovered;;ai_discovery;2026-03-23 09:34:55
info@montello.nl;Montello Logistics;logistiek;Nederland;160;;www.montello.nl;60;96;discovered;;ai_discovery;2026-03-23 09:34:55
info@gvtgroep.nl;GVT Groep;logistiek;Nederland;155;;www.gvtgroep.nl;60;96;discovered;;ai_discovery;2026-03-23 09:34:55
info@modulaire-inrichting.nl;Modulaire Inrichting;logistiek;Nederland;85;;www.modulaire-inrichting.nl;60;96;discovered;;ai_discovery;2026-03-23 09:35:08
info@binder-logistics.nl;Binder Logistics;logistiek;Nederland;170;;www.binder-logistics.nl;60;96;discovered;;ai_discovery;2026-03-23 09:35:08
info@dachser.com;Dachser;logistiek;Utrecht;250;;www.dachser.com;0;96;new;;ai_knowledge;2026-03-18 11:54:57
info@intertrans.nl;InterTrans Logistics;logistiek;Tilburg;130;;www.intertrans.nl;0;96;new;;ai_knowledge;2026-03-18 13:16:53
info@fortunalogistics.nl;Fortuna Logistics;logistiek;Nederland;250;;www.fortunalogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@gls-group.nl;GLS Netherlands;logistiek;Nederland;200;;www.gls-group.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@willeboodschappen.nl;Wille Boodschappen;logistiek;Nederland;180;;www.willeboodschappen.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@jumbodistributie.nl;Jumbo Distributie;logistiek;Nederland;240;;www.jumbodistributie.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@dekkerlogistics.nl;Dekker Logistics;logistiek;Nederland;150;;www.dekkerlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@rabobanklogistiek.nl;RaboBank Logistiek;logistiek;Nederland;140;;www.rabobanklogistiek.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@carriertransicold.nl;Carrier Transicold;logistiek;Nederland;120;;www.carriertransicold.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@roodexpedietie.nl;Rood Expeditie;logistiek;Nederland;95;;www.roodexpedietie.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@expeditors.nl;Expeditors;logistiek;Nederland;110;;www.expeditors.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@swiegerstransport.nl;Swiegers Transport;logistiek;Nederland;85;;www.swiegerstransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@vogelaarlogistics.nl;Vogelaarlogistics;logistiek;Nederland;75;;www.vogelaarlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@nijnco.nl;Nijnco Logistics;logistiek;Nederland;90;;www.nijnco.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@dumalogistics.nl;Duma Logistics;logistiek;Nederland;65;;www.dumalogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@snydertransport.nl;Snyder Transport;logistiek;Nederland;80;;www.snydertransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@lassila-tikanoja.nl;Lassila & Tikanoja;logistiek;Nederland;60;;www.lassila-tikanoja.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
info@transarctica.nl;Trans Arctica;logistiek;Nederland;55;;www.transarctica.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:09
contact@kn-logistics.nl;Kühne Nagel;logistiek;Nederland;280;;www.kn-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@exfreight.nl;ExFreight;logistiek;Nederland;95;;www.exfreight.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@jumboport.nl;Jumbo Port Services;logistiek;Nederland;140;;www.jumboport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@biond.nl;Biond Logistics;logistiek;Nederland;85;;www.biond.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
benelux@geodis.nl;Geodis Benelux;logistiek;Nederland;220;;www.geodis-benelux.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@divecom.nl;Divecom;logistiek;Nederland;75;;www.divecom.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@mkblogistiek.nl;MKB Logistiek;logistiek;Nederland;65;;www.mkblogistiek.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@fracht.nl;Fracht Transport;logistiek;Nederland;110;;www.fracht.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@tritrans.nl;TriTrans;logistiek;Nederland;55;;www.tritrans.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@primelogistics.nl;Prime Logistics;logistiek;Nederland;80;;www.primelogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@transdanubia.nl;Transdanubia;logistiek;Nederland;70;;www.transdanubia.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@flexdist.nl;Flex Distribution;logistiek;Nederland;90;;www.flexdist.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@logistxholland.nl;LogistX Holland;logistiek;Nederland;60;;www.logistxholland.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@tvdl.nl;Transport van der Linde;logistiek;Nederland;50;;www.tvdl.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@stafalogistics.nl;STAFA Logistics;logistiek;Nederland;130;;www.stafalogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:04:20
info@wil-trans.nl;Wil-Trans;logistiek;Nederland;180;;www.wil-trans.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@bertschi.nl;Bertschi;logistiek;Nederland;200;;www.bertschi.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@stokvistransport.nl;Stokvis Logistics;logistiek;Nederland;160;;www.stokvistransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@oxeialogistics.nl;Oxeia Logistics;logistiek;Nederland;95;;www.oxeialogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@vangent.nl;Van Gent Logistics;logistiek;Nederland;85;;www.vangent.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@atalaya.nl;Atalaya Logistics;logistiek;Nederland;140;;www.atalaya.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@kn.nl;Kuehne + Nagel;logistiek;Nederland;380;;www.kn.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@bvatransport.nl;BvA Transport;logistiek;Nederland;110;;www.bvatransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@tmsnel.nl;Transportmaatschappij Snel;logistiek;Nederland;75;;www.tmsnel.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@havi.nl;Havi;logistiek;Nederland;260;;www.havi.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@voorbijtransport.nl;Voorbij Transport;logistiek;Nederland;130;;www.voorbijtransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@transexpress.nl;Trans Express;logistiek;Nederland;95;;www.transexpress.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:08
info@yusen-logistics.nl;Yusen Logistics;logistiek;Nederland;280;;www.yusen-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@mobit.nl;Mobit Logistics;logistiek;Nederland;150;;www.mobit.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@logisticsdynamics.nl;Logistics Dynamics;logistiek;Nederland;140;;www.logisticsdynamics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@prologis.nl;Prologis;logistiek;Nederland;120;;www.prologis.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@wuppermann.nl;Wuppermann;logistiek;Nederland;100;;www.wuppermann.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@bifilogistics.nl;BiFi Logistics;logistiek;Nederland;95;;www.bifilogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@abslogistics.nl;ABS Logistics;logistiek;Nederland;90;;www.abslogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@lemontreelogistics.nl;Lemontree Logistics;logistiek;Nederland;85;;www.lemontreelogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@logisticsworks.nl;LogisticsWorks;logistiek;Nederland;75;;www.logisticsworks.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@palletlogistics.nl;Pallet Logistics;logistiek;Nederland;70;;www.palletlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@safelogistics.nl;Safe Logistics;logistiek;Nederland;65;;www.safelogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@cbrelogistics.nl;CBRE Logistics;logistiek;Nederland;60;;www.cbrelogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@plantopack.nl;Plantopack;logistiek;Nederland;55;;www.plantopack.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:11
info@verbruggentransport.nl;Verbruggen Logistics;logistiek;Nederland;150;;www.verbruggentransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@transmontaigne.nl;Transmontaigne Logistics;logistiek;Nederland;120;;www.transmontaigne.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@ctg-logistics.nl;CTG Logistics;logistiek;Nederland;95;;www.ctg-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@logistiekenmeer.nl;Logistiek en meer;logistiek;Nederland;85;;www.logistiekenmeer.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@alanders.nl;A-Landers Transport;logistiek;Nederland;120;;www.alanders.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@bunckgroup.nl;Bunck Group;logistiek;Nederland;140;;www.bunckgroup.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@gmg.nl;Grandi Magazzini Generali;logistiek;Nederland;160;;www.gmg.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@logistichem.nl;LogistiChem;logistiek;Nederland;95;;www.logistichem.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@vancrooij.nl;Van Crooij Logistics;logistiek;Nederland;105;;www.vancrooij.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@peppel.nl;Peppel Logistics;logistiek;Nederland;88;;www.peppel.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@eurogate.nl;Eurogate Terminals Rotterdam;logistiek;Nederland;220;;www.eurogate.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@pumalogistics.nl;Puma Logistics;logistiek;Nederland;92;;www.pumalogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@wimdeboer.nl;Wim de Boer Transport;logistiek;Nederland;65;;www.wimdeboer.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@vdmlogistics.nl;Vdm Logistics;logistiek;Nederland;72;;www.vdmlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@mtmgroup.nl;MtmGroup;logistiek;Nederland;110;;www.mtmgroup.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:12
info@kuhn-nagel.nl;Kuehne+Nagel;logistiek;Nederland;400;;www.kuhn-nagel.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@allcargo.nl;Allcargo;logistiek;Nederland;200;;www.allcargo.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@pallettrack.nl;Pallet Track;logistiek;Nederland;150;;www.pallettrack.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@logistiek.com;Logistiek.com;logistiek;Nederland;120;;www.logistiek.com;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@jcblogistics.nl;JCB Logistics;logistiek;Nederland;95;;www.jcblogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@hellog.nl;Hellog;logistiek;Nederland;110;;www.hellog.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@tijssentransport.nl;Tijssen Transport;logistiek;Nederland;85;;www.tijssentransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@vreugdenhil-logistics.nl;Vreugdenhil Logistics;logistiek;Nederland;140;;www.vreugdenhil-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@grevelle.nl;Grevelle Logistics;logistiek;Nederland;105;;www.grevelle.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@campro.nl;Campro;logistiek;Nederland;75;;www.campro.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@idslogistics.nl;IDS Logistics;logistiek;Nederland;160;;www.idslogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@saranne.nl;Saranne Logistics;logistiek;Nederland;90;;www.saranne.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@vandeputte.nl;Van de Putte Transport;logistiek;Nederland;65;;www.vandeputte.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@bolderaja.nl;Bolderaja Logistics;logistiek;Nederland;145;;www.bolderaja.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@wtclogistics.nl;WTC Logistics;logistiek;Nederland;70;;www.wtclogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@basworld.nl;BAS World;logistiek;Nederland;55;;www.basworld.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@allianceslogistics.nl;Alliances Logistics;logistiek;Nederland;125;;www.allianceslogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:17:15
info@damco.nl;Damco Nederland;logistiek;Nederland;290;;www.damco.nl;60;95;discovered;;ai_discovery;2026-03-23 09:34:55
info@contship.nl;Contship Italia Logistics;logistiek;Nederland;180;;www.contship.nl;60;95;discovered;;ai_discovery;2026-03-23 09:34:55
info@hoflogistics.nl;Hof Logistics;logistiek;Nederland;140;;www.hoflogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:34:55
info@truckservicecenter.nl;Truck Service Center;logistiek;Nederland;75;;www.truckservicecenter.nl;60;95;discovered;;ai_discovery;2026-03-23 09:34:55
info@transporte-int.nl;Transporte International;logistiek;Nederland;150;;www.transporte-int.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@dexo.nl;Dexo Logistics;logistiek;Nederland;140;;www.dexo.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@cargoftrading.nl;Cargo Trading;logistiek;Nederland;75;;www.cargotrading.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@descartes-transport.nl;Descartes Transport;logistiek;Nederland;110;;www.descartes-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@transgard.nl;Transgard Logistics;logistiek;Nederland;135;;www.transgard.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@intermodal-transport.nl;Intermodal Transport;logistiek;Nederland;195;;www.intermodal-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
info@lsc-logistics.nl;Logistiek Service Centrum;logistiek;Nederland;105;;www.lsc-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:35:08
