email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@tig.nl;Technische Installatie Groep;loodgieter;Nederland;25;;www.tig.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:01
info@imtech-inst.nl;Imtech Installatietechniek;loodgieter;Nederland;22;;www.imtech-inst.nl;60;70;discovered;;ai_discovery;2026-03-23 09:21:01
info@rothokan.nl;Rothokan;loodgieter;Nederland;45;;www.rothokan.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@vandekamploodgieters.nl;Van de Kamp Loodgieters;loodgieter;Nederland;28;;www.vandekamploodgieters.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@aquacompany.nl;AquaCompany;loodgieter;Nederland;35;;www.aquacompany.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@vdvloodgieters.nl;VDV Loodgieters;loodgieter;Nederland;32;;www.vdvloodgieters.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@bouwbedrijfstraaten.nl;Bouwbedrijf Straaten;loodgieter;Nederland;24;;www.bouwbedrijfstraaten.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@sanitairplus.nl;Sanitair Plus;loodgieter;Nederland;26;;www.sanitairplus.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@loodgieterstan.nl;Loodgietersbedrijf Tan;loodgieter;Nederland;21;;www.loodgieterstan.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@proinstallatieservice.nl;Pro Installatie Service;loodgieter;Nederland;25;;www.proinstallatieservice.nl;60;70;discovered;;ai_discovery;2026-03-23 09:58:09
info@dijkstra-installaties.nl;Installatiebedrijf Dijkstra;loodgieter;Nederland;8;;www.dijkstra-installaties.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@hendrikx-sanitair.nl;Sanitair & Installatie Hendrikx;loodgieter;Nederland;15;;www.hendrikx-sanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@smitloodgieter.nl;Loodgieters Bedrijf Smit;loodgieter;Nederland;18;;www.smitloodgieter.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@tekstra.nl;Installatie Tekstra;loodgieter;Nederland;10;;www.tekstra.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@vandijkinstallaties.nl;Van Dijk Installaties;loodgieter;Nederland;14;;www.vandijkinstallaties.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@deboersanitair.nl;Sanitair Specialist de Boer;loodgieter;Nederland;11;;www.deboersanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@vermeulen-lood.nl;Lood & Installatie Vermeulen;loodgieter;Nederland;9;;www.vermeulen-lood.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@bouwersinstallaties.nl;Installatiebedrijf Bouwers;loodgieter;Nederland;13;;www.bouwersinstallaties.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@brouwersanitair.nl;Sanitair Installatie Brouwer;loodgieter;Nederland;7;;www.brouwersanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@vanecklood.nl;Van Eck Loodgieters;loodgieter;Nederland;10;;www.vanecklood.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@peeterssanitair.nl;Installatie & Sanitair Peeters;loodgieter;Nederland;12;;www.peeterssanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@loodgietersmaes.nl;Loodgieters Maes;loodgieter;Nederland;8;;www.loodgietersmaes.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@hofmaninstallatatie.nl;Installatiebedrijf Hofman;loodgieter;Nederland;11;;www.hofmaninstallatie.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@leeuwen-sanitair.nl;Sanitair Centrum Leeuwen;loodgieter;Nederland;9;;www.leeuwen-sanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@sanitairpro.nl;Sanitair Pro Installatie;loodgieter;Nederland;13;;www.sanitairpro.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@loodenwarm.nl;Lood & Warm Installatie;loodgieter;Nederland;16;;www.loodenwarm.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@vandenberginstallaties.nl;Installatiebedrijf van den Berg;loodgieter;Nederland;10;;www.vandenberginstallaties.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@sanitairexpress.nl;Sanitair Express Installatie;loodgieter;Nederland;12;;www.sanitairexpress.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@jansenlood.nl;Loodgietersbedrijf Jansen;loodgieter;Nederland;8;;www.jansenlood.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@luyteninstallatie.nl;Installatie Luyten;loodgieter;Nederland;9;;www.luyteninstallatie.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@duijnsanitair.nl;Sanitair Installatie Duijn;loodgieter;Nederland;7;;www.duijnsanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@proinstallatie.nl;Pro Installatie Systems;loodgieter;Nederland;11;;www.proinstallatie.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@schmeitz.nl;Loodgieters Schmeitz;loodgieter;Nederland;6;;www.schmeitz.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@wouterssanitair.nl;Sanitair & Techniek Wouters;loodgieter;Nederland;10;;www.wouterssanitair.nl;60;60;discovered;;ai_discovery;2026-03-23 09:09:27
info@vandenbroekloodgieters.nl;Van den Broek Loodgieters;loodgieter;Nederland;12;;www.vandenbroekloodgieters.nl;60;60;discovered;;ai_discovery;2026-03-23 09:20:58
info@installatiebedrijfjansen.nl;Installatiebedrijf Jansen;loodgieter;Nederland;8;;www.installatiebedrijfjansen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:20:58
info@sanitairdiensten.nl;Sanitair Diensten Maas;loodgieter;Nederland;15;;www.sanitairdiensten.nl;60;60;discovered;;ai_discovery;2026-03-23 09:20:58
info@loodgieterdewit.nl;Loodgietersbedrijf De Wit;loodgieter;Nederland;10;;www.loodgieterdewit.nl;60;60;discovered;;ai_discovery;2026-03-23 09:20:58
info@technoloodgieters.nl;Techno Loodgieters;loodgieter;Nederland;18;;www.technoloodgieters.nl;60;60;discovered;;ai_discovery;2026-03-23 09:20:58
