email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@bouwbedrijfderidder.nl;Bouwbedrijf de Ridder;metselaar;Nederland;8;;www.bouwbedrijfderidder.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:07
info@beelen.nl;Woningtimmerwerk Beelen;metselaar;Nederland;12;;www.beelen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:07
info@houben-bouw.nl;Bouwbedrijf Houben;metselaar;Nederland;15;;www.houben-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@degroote-metsel.nl;Metselbedrijf De Groote;metselaar;Nederland;7;;www.degroote-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@bosch-bouw.nl;Bouw- en Timmerwerken Bosch;metselaar;Nederland;10;;www.bosch-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@devries-bouw.nl;Bouwbedrijf De Vries;metselaar;Nederland;9;;www.devries-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@smit-bouw.nl;Timmer- en Bouwbedrijf Smit;metselaar;Nederland;8;;www.smit-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@hendrix-metsel.nl;Metselbedrijf Hendrix;metselaar;Nederland;6;;www.hendrix-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@nijssen-metsel.nl;Metselwerk Nijssen;metselaar;Nederland;7;;www.nijssen-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@geuze-bouw.nl;Bouw en Onderhoud Geuze;metselaar;Nederland;9;;www.geuze-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@dirksen-metsel.nl;Metselbedrijf Dirksen;metselaar;Nederland;6;;www.dirksen-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@korsten-bouw.nl;Bouwbedrijf Korsten;metselaar;Nederland;10;;www.korsten-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@reijnen-bouw.nl;Bouw- en Timmerwerk Reijnen;metselaar;Nederland;8;;www.reijnen-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@smaak-bouw.nl;Bouwbedrijf Smaak;metselaar;Nederland;12;;www.smaak-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@driesen-timmer.nl;Timmerwerken Driesen;metselaar;Nederland;7;;www.driesen-timmer.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@bogaerts-metsel.nl;Metselwerk Bogaerts;metselaar;Nederland;8;;www.bogaerts-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@bonte-bouw.nl;Bouwbedrijf Bonte;metselaar;Nederland;6;;www.bonte-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@duijndam-bouw.nl;Bouw en Renovatie Duijndam;metselaar;Nederland;7;;www.duijndam-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@vandenbergbouw.nl;Bouwbedrijf van den Berg;metselaar;Nederland;8;;www.vandenbergbouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkjansen.nl;Metselwerk Jansen;metselaar;Nederland;6;;www.metselwerkjansen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwdevries.nl;Bouwbedrijf de Vries;metselaar;Nederland;12;;www.bouwdevries.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselaargroep.nl;Metselaar Groep Nederland;metselaar;Nederland;15;;www.metselaargroep.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bakstenevakwerk.nl;Bakstenen Vakwerk;metselaar;Nederland;9;;www.bakstenevakwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwwerkenpieterse.nl;Bouwwerken Pieterse;metselaar;Nederland;7;;www.bouwwerkenpieterse.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@vandijkmetsel.nl;Van Dijk Metselwerk;metselaar;Nederland;10;;www.vandijkmetsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkdegroot.nl;Metselwerk De Groot;metselaar;Nederland;8;;www.metselwerkdegroot.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwvermeulen.nl;Bouwbedrijf Vermeulen;metselaar;Nederland;13;;www.bouwvermeulen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@stenenbouw.nl;Stenen Bouw;metselaar;Nederland;6;;www.stenenbouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkklaassen.nl;Metselwerk Klaassen;metselaar;Nederland;9;;www.metselwerkklaassen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwsanders.nl;Bouwbedrijf Sanders;metselaar;Nederland;10;;www.bouwsanders.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@demetselaaarvakman.nl;De Metselaar Vakman;metselaar;Nederland;7;;www.demetselaaarvakman.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwwerkenhendriks.nl;Bouwwerken Hendriks;metselaar;Nederland;8;;www.bouwwerkenhendriks.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerklauwers.nl;Metselwerk Lauwers;metselaar;Nederland;6;;www.metselwerklauwers.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwbakker.nl;Bouwbedrijf Bakker;metselaar;Nederland;9;;www.bouwbakker.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkvisser.nl;Metselwerk Visser;metselaar;Nederland;7;;www.metselwerkvisser.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwdewilde.nl;Bouwbedrijf De Wilde;metselaar;Nederland;11;;www.bouwdewilde.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkreaaij.nl;Metselwerk Raaijmakers;metselaar;Nederland;8;;www.metselwerkreaaij.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwwerkensmeets.nl;Bouwwerken Smeets;metselaar;Nederland;9;;www.bouwwerkensmeets.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@baksteenbouwwerken.nl;Bakstenen Bouwwerken;metselaar;Nederland;10;;www.baksteenbouwwerken.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@bouwkonings.nl;Bouwbedrijf Konings;metselaar;Nederland;8;;www.bouwkonings.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@metselwerkwigerinck.nl;Metselwerk Wiegerink;metselaar;Nederland;6;;www.metselwerkwigerinck.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:27
info@vdberg-bouw.nl;Bouwbedrijf van den Berg;metselaar;Nederland;8;;www.vdberg-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@metselwerken-janssen.nl;Metselwerken Janssen;metselaar;Nederland;6;;www.metselwerken-janssen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@degroot-metselwerk.nl;De Groot Metselwerk;metselaar;Nederland;12;;www.degroot-metselwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@bouwbedrijf-smeets.nl;Bouwbedrijf Smeets;metselaar;Nederland;10;;www.bouwbedrijf-smeets.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@hofman-metselwerk.nl;Metselwerk Hofman;metselaar;Nederland;15;;www.hofman-metselwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@hermans-bouw.nl;Bouwbedrijf Hermans;metselaar;Nederland;9;;www.hermans-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@devries-metsel.nl;Metselwerken De Vries;metselaar;Nederland;7;;www.devries-metsel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@willems-bouw.nl;Bouwbedrijf Willems;metselaar;Nederland;11;;www.willems-bouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
info@kooij-metselwerk.nl;Metselwerk Kooij;metselaar;Nederland;8;;www.kooij-metselwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:25:10
