email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@schildersgroepnederland.nl;Schilders Groep Nederland;schildersbedrijf;Nederland;25;;www.schildersgroepnederland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:39:44
info@schildersmaatschappij.nl;Schilders Maatschappij Amsterdam;schildersbedrijf;Nederland;25;;www.schildersmaatschappij.nl;60;70;discovered;;ai_discovery;2026-03-23 09:59:12
info@schildersbedrijfderidder.nl;Schildersbedrijf De Ridder;schildersbedrijf;Nederland;8;;www.schildersbedrijfderidder.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@vosschilders.nl;Vos Schilders;schildersbedrijf;Nederland;12;;www.vosschilders.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersbedrijfjansen.nl;Schildersbedrijf Jansen;schildersbedrijf;Nederland;6;;www.schildersbedrijfjansen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@bouwschildersvanderberg.nl;Bouwschilders Van der Berg;schildersbedrijf;Nederland;10;;www.bouwschildersvanderberg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersmaatschappijnnoord.nl;Schilders Maatschappij Noord;schildersbedrijf;Nederland;7;;www.schildersmaatschappijnnoord.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersbedrijfmuller.nl;Schildersbedrijf Muller;schildersbedrijf;Nederland;9;;www.schildersbedrijfmuller.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@dekunstvanschilderen.nl;De Kunst van Schilderen;schildersbedrijf;Nederland;11;;www.dekunstvanschilderen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@profesionaleschildersutrecht.nl;Professionale Schilders Utrecht;schildersbedrijf;Nederland;8;;www.profesionaleschildersutrecht.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersteamhaarlem.nl;Schilders Team Haarlem;schildersbedrijf;Nederland;6;;www.schildersteamhaarlem.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@modernschildersbedrijfrotterdam.nl;Modern Schildersbedrijf Rotterdam;schildersbedrijf;Nederland;14;;www.modernschildersbedrijfrotterdam.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersbedrijfkonings.nl;Schildersbedrijf Konings;schildersbedrijf;Nederland;7;;www.schildersbedrijfkonings.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@lakwerkenschildersamsterdam.nl;Lakwerken Schilders Amsterdam;schildersbedrijf;Nederland;9;;www.lakwerkenschildersamsterdam.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schilderscentralenederland.nl;Schilders Centrale Nederland;schildersbedrijf;Nederland;10;;www.schilderscentraleNederland.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersbedrijfscholten.nl;Schildersbedrijf Scholten;schildersbedrijf;Nederland;8;;www.schildersbedrijfscholten.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@eliteschildersdenhaag.nl;Elite Schilders Den Haag;schildersbedrijf;Nederland;12;;www.eliteschildersdenhaag.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:54
info@schildersbedrijfpieters.nl;Schildersbedrijf Pieters;schildersbedrijf;Nederland;6;;www.schildersbedrijfpieters.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@gevelschildersamsterdamplus.nl;Gevelschilders Amsterdam Plus;schildersbedrijf;Nederland;11;;www.gevelschildersamsterdamplus.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersdienstenbedrijflimburg.nl;Schilders Dienstenbedrijf Limburg;schildersbedrijf;Nederland;9;;www.schildersdienstenbedrijflimburg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersbedrijfherman.nl;Schildersbedrijf Herman;schildersbedrijf;Nederland;7;;www.schildersbedrijfherman.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@professionaleschuldersams.nl;Professionele Schilders Amsterdam;schildersbedrijf;Nederland;13;;www.professionaleschuldersams.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersbedrijfmeijer.nl;Schildersbedrijf Meijer;schildersbedrijf;Nederland;8;;www.schildersbedrijfmeijer.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersvakkundig.nl;Schilders Vakkundig;schildersbedrijf;Nederland;10;;www.schildersvakkundig.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersbedrijfhartog.nl;Schildersbedrijf Hartog;schildersbedrijf;Nederland;9;;www.schildersbedrijfhartog.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@paintprofessionalsnederland.nl;Paint Professionals Nederland;schildersbedrijf;Nederland;15;;www.paintprofessionalsnederland.nl;60;60;discovered;;ai_discovery;2026-03-23 09:21:55
info@schildersbedrijfdewilde.nl;Schildersbedrijf De Wilde;schildersbedrijf;Nederland;8;;www.schildersbedrijfdewilde.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
info@schilder.nl;Schilder.nl;schildersbedrijf;Nederland;12;;www.schilder.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
info@drentschildersbedrijf.nl;Drent Schildersbedrijf;schildersbedrijf;Nederland;6;;www.drentschildersbedrijf.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
info@schildersbedrijfgroningen.nl;Schildersbedrijf Groningen;schildersbedrijf;Nederland;7;;www.schildersbedrijfgroningen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
info@frescoschilders.nl;Fresco Schildersbedrijf;schildersbedrijf;Nederland;10;;www.frescoschilders.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
info@schildersvandenberg.nl;Schilders van den Berg;schildersbedrijf;Nederland;9;;www.schildersvandenberg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:22:27
