email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@issworld.nl;ISS Nederland;schoonmaak;Nederland;250;;www.issworld.nl;60;98;discovered;;ai_discovery;2026-03-23 10:33:22
info@iss.nl;ISS Facility Services;schoonmaak;Amsterdam;160;;www.iss.nl;0;95;new;;ai_knowledge;2026-03-18 10:43:34
info@buva.nl;Buva Facility Services;schoonmaak;Nederland;140;;www.buva.nl;60;94;discovered;;ai_discovery;2026-03-23 10:33:22
info@dussmann.nl;Dussmann;schoonmaak;Amsterdam;150;;www.dussmann.nl;0;94;new;;ai_knowledge;2026-03-18 10:42:46
info@rentokil.nl;Rentokil Initial;schoonmaak;Amsterdam;150;;www.rentokil.nl;0;94;new;;ai_knowledge;2026-03-18 11:29:09
info@corusfm.nl;Corus FM Services;schoonmaak;Amsterdam;135;;www.corusfm.nl;0;93;new;;ai_knowledge;2026-03-18 12:08:21
info@ocs.nl;OCS Nederland;schoonmaak;Nederland;95;;www.ocs.nl;60;92;discovered;;ai_discovery;2026-03-23 10:13:56
info@healygroup.nl;Healy Group;schoonmaak;Nederland;120;;www.healygroup.nl;60;92;discovered;;ai_discovery;2026-03-23 10:33:22
info@servisys.nl;Servisys Facility Management;schoonmaak;Nederland;110;;www.servisys.nl;60;92;discovered;;ai_discovery;2026-03-23 10:33:22
info@imtech.nl;Imtech Facility Services;schoonmaak;Arnhem;200;;www.imtech.nl;0;92;new;;ai_knowledge;2026-03-18 10:43:34
info@iss-facilities.nl;ISS Facility Services Nederland;schoonmaak;Nederland;200;;www.iss-facilities.nl;60;91;discovered;;ai_discovery;2026-03-23 09:07:57
info@imtech-fs.nl;Imtech Facility Services;schoonmaak;Arnhem;200;;www.imtech-fs.nl;0;91;new;;ai_knowledge;2026-03-18 11:29:09
info@fgn.nl;Facilities Group Nederland;schoonmaak;Utrecht;155;;www.facilitiesgroupnederland.nl;0;91;new;;ai_knowledge;2026-03-18 11:29:09
info@iss-nl.nl;ISS Facility Services;schoonmaak;Rotterdam;200;;www.iss-nl.nl;0;91;new;;ai_knowledge;2026-03-18 12:08:20
info@properschoonmaak.nl;Proper Schoonmaak;schoonmaak;Utrecht;105;;www.properschoonmaak.nl;0;91;new;;ai_knowledge;2026-03-18 12:08:21
info@fmholland.nl;Facility Management Holland;schoonmaak;Rotterdam;130;;www.fmholland.nl;0;91;new;;ai_knowledge;2026-03-18 14:25:47
info@ocsgroup.nl;OCS Group Nederland;schoonmaak;Rotterdam;180;;www.ocsgroup.nl;0;90;new;;ai_knowledge;2026-03-18 10:43:34
info@fsamsterdam.nl;Facility Services Amsterdam;schoonmaak;Amsterdam;105;;www.fsamsterdam.nl;0;90;new;;ai_knowledge;2026-03-18 14:25:47
info@ohra-schoonmaak.nl;Ohra Schoonmaak;schoonmaak;Nederland;85;;www.ohra-schoonmaak.nl;60;80;discovered;;ai_discovery;2026-03-23 09:34:51
info@deschoonmaakgroep.nl;De Schoonmaak Groep;schoonmaak;Nederland;110;;www.deschoonmaakgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:54:26
info@becker.nl;Becker Professional Cleaning;schoonmaak;Nederland;95;;www.becker.nl;60;80;discovered;;ai_discovery;2026-03-23 10:14:23
info@prisma.nl;Prisma Facility Services;schoonmaak;Nederland;105;;www.prisma.nl;60;80;discovered;;ai_discovery;2026-03-23 10:33:23
info@fmc.nl;Facilities Management Company;schoonmaak;Nederland;95;;www.fmc.nl;60;80;discovered;;ai_discovery;2026-03-23 10:33:23
info@stafide.nl;Stafide;schoonmaak;Utrecht;120;;www.stafide.nl;0;80;new;;ai_knowledge;2026-03-18 10:42:46
info@issabenelux.nl;ISSA Benelux;schoonmaak;Hilversum;140;;www.issabenelux.nl;0;80;new;;ai_knowledge;2026-03-18 10:42:46
info@cityservices.nl;City Services;schoonmaak;Rotterdam;90;;www.cityservices.nl;0;80;new;;ai_knowledge;2026-03-18 10:42:46
info@buurtzorgfm.nl;Buurtzorg Facility Management;schoonmaak;Utrecht;100;;www.buurtzorgfm.nl;0;80;new;;ai_knowledge;2026-03-18 10:42:46
info@facilitycare.nl;Facility Care;schoonmaak;Utrecht;80;;www.facilitycare.nl;0;80;new;;ai_knowledge;2026-03-18 10:42:46
