email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@vandenbergstukadoors.nl;Van den Berg Stukadoors;stukadoor;Nederland;8;;www.vandenbergstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukwerkprofessionals.nl;Stukwerk Professionals;stukadoor;Nederland;6;;www.stukwerkprofessionals.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@krijnen-stukadoors.nl;Krijnen Stukadoors;stukadoor;Nederland;7;;www.krijnen-stukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukadoorsmaas.nl;Stukadoors Maas & Co;stukadoor;Nederland;9;;www.stukadoorsmaas.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@dekkersstukadoors.nl;Dekkers Stukadoorsbedrijf;stukadoor;Nederland;6;;www.dekkersstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@bouwstukwerk.nl;Bouwstukwerk Nederland;stukadoor;Nederland;12;;www.bouwstukwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@premierstukadoors.nl;Premier Stukadoors;stukadoor;Nederland;8;;www.premierstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukadoorsteamfriesland.nl;Stukadoors Team Friesland;stukadoor;Nederland;7;;www.stukadoorsteamfriesland.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukadoorsoverijssel.nl;Stukadoors Overijssel;stukadoor;Nederland;6;;www.stukadoorsoverijssel.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@gipsvaarverk.nl;Gipsvaarwerk Zuid;stukadoor;Nederland;10;;www.gipsvaarwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukwerkplus.nl;Stukwerk Professionals Plus;stukadoor;Nederland;11;;www.stukwerkplus.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@vandijkstukadoors.nl;Van Dijk Stukadoors;stukadoor;Nederland;7;;www.vandijkstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@bouwstucwerklimburg.nl;Bouwstucwerk Limburg;stukadoor;Nederland;8;;www.bouwstucwerklimburg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@stukadoorsderidder.nl;Stukadoors De Ridder;stukadoor;Nederland;6;;www.stukadoorsderidder.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:08
info@gipsenstuk.nl;Gips & Stuk Diensten;stukadoor;Nederland;9;;www.gipsenstuk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:09
info@bouwkwaliteit.nl;Bouwkwaliteit Stucwerk;stukadoor;Nederland;6;;www.bouwkwaliteit.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:09
info@stukadoorswerkenholland.nl;Stukadoors Werken Holland;stukadoor;Nederland;7;;www.stukadoorswerkenholland.nl;60;60;discovered;;ai_discovery;2026-03-23 09:10:09
info@stucwerkgroep.nl;Stucwerk Groep Nederland;stukadoor;Nederland;6;;www.stucwerkgroep.nl;60;60;discovered;;ai_discovery;2026-03-23 09:23:52
info@kwaliteitstukadoors.nl;Kwaliteit Stukadoors;stukadoor;Nederland;6;;www.kwaliteitstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:41:13
info@rotterdamstukwerk.nl;Rotterdam Stukwerk;stukadoor;Nederland;6;;www.rotterdamstukwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:41:14
info@smn-stucadoors.nl;Stucadoor Maatschappij Nederland;stukadoor;Nederland;12;;www.smn-stucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@destucadoor.nl;De Stucadoor;stukadoor;Nederland;8;;www.destucadoor.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@kroonstucadoors.nl;Kroon Stucadoors;stukadoor;Nederland;10;;www.kroonstucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@vanderlindestucwerk.nl;Van der Linde Stucwerk;stukadoor;Nederland;14;;www.vanderlindestucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@geldersestucadoors.nl;Gelderse Stucadoors;stukadoor;Nederland;9;;www.gelderseStucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@spaanstucadoors.nl;Spaan Stucadoors;stukadoor;Nederland;7;;www.spaanstucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@frissestucwerk.nl;Frisse Stucwerk;stukadoor;Nederland;6;;www.frissestucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@oppervlakteafwerking.nl;Oppervlakte Afwerking;stukadoor;Nederland;13;;www.oppervlakteafwerking.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@stucadorswerkvandijk.nl;Stucadoorswerk van Dijk;stukadoor;Nederland;8;;www.stucadorswerkvanDijk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@modernestucafwerking.nl;Moderne Stucafwerking;stukadoor;Nederland;10;;www.modernestucafwerking.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@kwaliteitsstucwerk.nl;Kwaliteits Stucwerk;stukadoor;Nederland;12;;www.kwaliteitsstucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@noordhollandsestucadoors.nl;Noord-Hollandse Stucadoors;stukadoor;Nederland;7;;www.noordhollandseStucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@expertstucafwerking.nl;Expert Stucafwerking;stukadoor;Nederland;8;;www.expertstucafwerking.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@zuidweststucwerk.nl;Zuidwest Stucwerk;stukadoor;Nederland;6;;www.zuidweststucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@precisionstucadoors.nl;Precision Stucadoors;stukadoor;Nederland;9;;www.precisionstucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@reliablestucwerk.nl;Reliable Stucwerk;stukadoor;Nederland;7;;www.reliablestucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:42:06
info@dekoningstukadoors.nl;De Koning Stukadoors;stukadoor;Nederland;8;;www.dekoningstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@vandermeeerstukadoors.nl;Van der Meer Stukadoors;stukadoor;Nederland;7;;www.vandermeeerstukadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@petersstucadoors.nl;Peters Stucadoors;stukadoor;Nederland;6;;www.petersstucadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@weijers-stuckadoors.nl;Weijers Stuckadoors;stukadoor;Nederland;6;;www.weijers-stuckadoors.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@stucwerkenjansen.nl;Stucwerken Jansen;stukadoor;Nederland;7;;www.stucwerkenjansen.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@hermannsstucwerk.nl;Hermans Stucwerk;stukadoor;Nederland;6;;www.hermannsstucwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:17
info@gipserijdevries.nl;Gipserij de Vries;stukadoor;Nederland;6;;www.gipserijdevries.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@spuitmeestersnord.nl;Spuitmeesters Noord;stukadoor;Nederland;7;;www.spuitmeestersnord.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@afwerkingmaas.nl;Afwerkingsbedrijf Maas;stukadoor;Nederland;9;;www.afwerkingmaas.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@stucwerkexpress.nl;Stucwerk Express;stukadoor;Nederland;11;;www.stucwerkexpress.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@degipser-arnhem.nl;De Gipser - Arnhem;stukadoor;Nederland;8;;www.degipser-arnhem.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@stukadoorszwolle.nl;Stukadoors Zwolle & Omgeving;stukadoor;Nederland;7;;www.stukadoorszwolle.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@kwaliteitstucbouw.nl;Kwaliteit Stuc Bouw;stukadoor;Nederland;9;;www.kwaliteitstucbouw.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@gipswerk-gelderland.nl;Gipswerk Gelderland;stukadoor;Nederland;8;;www.gipswerk-gelderland.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@debacker-afwerking.nl;Afwerkingsbedrijf De Backer;stukadoor;Nederland;6;;www.debacker-afwerking.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@stukspuitpro.nl;Stuk & Spuit Professionals;stukadoor;Nederland;10;;www.stukspuitpro.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@gipserij-amsterdam.nl;Gipserij Amsterdam Regio;stukadoor;Nederland;12;;www.gipserij-amsterdam.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
info@stucadoorsbrabant.nl;Stucadoors Brabant Plus;stukadoor;Nederland;11;;www.stucadoorsbrabant.nl;60;60;discovered;;ai_discovery;2026-03-23 10:01:21
