email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@ns.nl;NS Reiziger;taxi;Nederland;800;030-2356000;www.ns.nl;60;98;discovered;;ai_discovery;2026-03-23 09:08:41
info@conexxion.nl;Conexxion;taxi;Nederland;1200;;www.conexxion.nl;60;98;discovered;;ai_discovery;2026-03-23 09:08:45
info@bolt.eu;Bolt Netherlands;taxi;Nederland;3500;;www.bolt.eu;60;98;discovered;;ai_discovery;2026-03-23 09:08:46
support@bolt.eu;Bolt Netherlands;taxi;Amsterdam;3500;;www.bolt.eu;0;98;new;;ai_knowledge;2026-03-18 12:24:51
info@sixt.nl;Sixt Nederland;taxi;Nederland;1200;;www.sixt.nl;60;97;discovered;;ai_discovery;2026-03-23 09:04:42
info@easytaxi.nl;EasyTaxi;taxi;Nederland;2200;;www.easytaxi.nl;60;97;discovered;;ai_discovery;2026-03-23 09:08:46
info@taxiroterdam.nl;Taxicentrale Rotterdam;taxi;Nederland;600;010-4133000;www.taxiroterdam.nl;60;97;discovered;;ai_discovery;2026-03-23 09:18:05
contact@arriva.nl;Arriva Nederland;taxi;Arnhem;1500;026-3570000;www.arriva.nl;0;97;new;;ai_knowledge;2026-03-18 12:24:51
info@keolis.nl;Keolis Nederland;taxi;Nederland;700;;www.keolis.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:42
info@budget.nl;Budget Nederland;taxi;Nederland;800;;www.budget.nl;60;96;discovered;;ai_discovery;2026-03-23 09:04:42
info@flixbus.nl;Flixbus;taxi;Nederland;300;020-5801830;www.flixbus.nl;60;96;discovered;;ai_discovery;2026-03-23 09:08:41
info@gvb.nl;GVB Diensten;taxi;Amsterdam;900;020-9011911;www.gvb.nl;0;96;new;;ai_knowledge;2026-03-18 12:24:51
info@transvision.nl;Transvision;taxi;Nederland;450;;www.transvision.nl;60;95;discovered;;ai_discovery;2026-03-23 09:08:46
info@utrechttaxi.nl;Utrecht Taxi;taxi;Nederland;400;030-2822222;www.utrechttaxi.nl;60;95;discovered;;ai_discovery;2026-03-23 09:18:05
info@bredataxi.nl;Breda Taxi;taxi;Nederland;190;076-5144444;www.bredataxi.nl;60;95;discovered;;ai_discovery;2026-03-23 09:18:06
info@taxiamersfoort.nl;Taxi Centrale Amersfoort;taxi;Nederland;170;033-463 4633;taxiamersfoort.nl;60;95;discovered;;ai_discovery;2026-03-23 09:18:10
info@ret.nl;RET Rotterdam;taxi;Rotterdam;650;010-4566911;www.ret.nl;0;95;new;;ai_knowledge;2026-03-18 12:24:51
info@europcar.nl;Europcar Nederland;taxi;Nederland;2000;;www.europcar.nl;60;94;discovered;;ai_discovery;2026-03-23 09:04:42
info@dewaard-taxi.nl;De Waard Taxiservice;taxi;Nederland;150;020-6912222;www.dewaard-taxi.nl;60;94;discovered;;ai_discovery;2026-03-23 09:08:41
info@citytaxi-rotterdam.nl;City Taxi Rotterdam;taxi;Nederland;220;010-4138888;www.citytaxi-rotterdam.nl;60;94;discovered;;ai_discovery;2026-03-23 09:08:41
info@transvaal-taxi.nl;Transvaal Taxi;taxi;Nederland;300;020-6645959;www.transvaal-taxi.nl;60;94;discovered;;ai_discovery;2026-03-23 09:08:41
info@aat.nl;Amsterdam Airport Transfers;taxi;Nederland;320;;www.aat.nl;60;94;discovered;;ai_discovery;2026-03-23 09:08:46
info@taximij.nl;TaxiZUID Amsterdam;taxi;Nederland;300;020-696 6666;taximij.nl;60;94;discovered;;ai_discovery;2026-03-23 09:18:10
info@htm.nl;HTM Den Haag;taxi;Den Haag;580;070-3131313;www.htm.nl;0;94;new;;ai_knowledge;2026-03-18 12:24:51
info@ovtaxi.nl;OV Taxi Amsterdam;taxi;Amsterdam;220;020-6777777;www.ovtaxi.nl;0;94;new;;ai_knowledge;2026-03-18 12:24:51
info@taxicentrale.nl;TaxiCentrale Amsterdam;taxi;Nederland;450;;www.taxicentrale.nl;60;93;discovered;;ai_discovery;2026-03-23 09:04:42
info@eltis.nl;Eltis;taxi;Nederland;110;;www.eltis.nl;60;93;discovered;;ai_discovery;2026-03-23 09:04:42
info@hertz.nl;Hertz Nederland;taxi;Nederland;1800;;www.hertz.nl;60;93;discovered;;ai_discovery;2026-03-23 09:04:42
info@amsteltaxi.nl;Amstel Taxi;taxi;Nederland;250;020-6777888;www.amsteltaxi.nl;60;93;discovered;;ai_discovery;2026-03-23 09:08:41
info@taxistandaard.nl;Taxistandaard;taxi;Nederland;600;;www.taxistandaard.nl;60;93;discovered;;ai_discovery;2026-03-23 09:08:45
info@teletaxi.nl;Tele-Taxi Den Haag;taxi;Nederland;450;070-3888888;www.teletaxi.nl;60;93;discovered;;ai_discovery;2026-03-23 09:08:46
info@taksi-utrecht.nl;Taksi Utrecht;taxi;Nederland;200;;www.taksi-utrecht.nl;60;93;discovered;;ai_discovery;2026-03-23 09:08:46
