email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@dichterbij.nl;Dichterbij;thuiszorg;Nederland;95;;www.dichterbij.nl;60;94;discovered;;ai_discovery;2026-03-23 10:36:50
info@zorgservicesnbrabant.nl;Zorgservices Noord-Brabant;thuiszorg;Nederland;130;;www.zorgservicesnbrabant.nl;60;92;discovered;;ai_discovery;2026-03-23 10:17:19
info@homecareplusnl.nl;Homecare Plus Nederland;thuiszorg;Nederland;105;;www.homecareplusnl.nl;60;91;discovered;;ai_discovery;2026-03-23 10:17:19
info@zorgserviceutrecht.nl;Zorg Service Utrecht;thuiszorg;Nederland;92;;www.zorgserviceutrecht.nl;60;91;discovered;;ai_discovery;2026-03-23 10:17:20
info@zorghuidzuidholland.nl;Zorggroep Zuid-Holland;thuiszorg;Nederland;120;;www.zorghuidzuidholland.nl;60;90;discovered;;ai_discovery;2026-03-23 10:17:19
info@wijkhuiszorg.nl;Wijkhuis Zorg;thuiszorg;Nederland;90;;www.wijkhuiszorg.nl;60;90;discovered;;ai_discovery;2026-03-23 10:17:19
info@afyna.nl;Afyna;thuiszorg;Nederland;72;;www.afyna.nl;60;88;discovered;;ai_discovery;2026-03-23 10:36:50
info@zorggroephaaglanden.nl;Zorggroep Haaglanden;thuiszorg;Nederland;67;;www.zorggroephaaglanden.nl;60;87;discovered;;ai_discovery;2026-03-23 10:36:50
info@zorgbijuthuis.nl;Zorg bij U Thuis;thuiszorg;Nederland;58;;www.zorgbijuthuis.nl;60;86;discovered;;ai_discovery;2026-03-23 10:36:50
info@zaanhauseindhoven.nl;Zorg aan Huis Eindhoven;thuiszorg;Nederland;56;;www.zaanhauseindhoven.nl;60;85;discovered;;ai_discovery;2026-03-23 10:36:50
info@groningenwijkverpleging.nl;Groningen Wijkverpleging;thuiszorg;Nederland;52;;www.groningenwijkverpleging.nl;60;83;discovered;;ai_discovery;2026-03-23 10:36:50
info@careaathome.nl;Care@home;thuiszorg;Nederland;52;;www.careathome.nl;60;82;discovered;;ai_discovery;2026-03-23 10:36:50
info@buurtzorg.nl;Buurtzorg Nederland;thuiszorg;Nederland;120;;www.buurtzorg.nl;60;80;discovered;;ai_discovery;2026-03-23 09:20:31
info@wijkverplegingnholand.nl;Wijkverpleging Noord-Holland;thuiszorg;Nederland;85;;www.wijkverplegingnholand.nl;60;80;discovered;;ai_discovery;2026-03-23 10:17:19
info@vivazorg.nl;ViVa Zorg;thuiszorg;Utrecht;65;;www.vivazorg.nl;0;80;new;;ai_knowledge;2026-03-18 12:51:53
info@wijkverpleging-utrecht.nl;Wijkverpleging Utrecht;thuiszorg;Nederland;52;;www.wijkverpleging-utrecht.nl;60;79;discovered;;ai_discovery;2026-03-23 09:38:09
info@stza.nl;Samenwerking Thuiszorg Amsterdam;thuiszorg;Nederland;67;;www.stza.nl;60;79;discovered;;ai_discovery;2026-03-23 09:57:57
info@verpleegservicemeierij.nl;Verpleegservice De Meierij;thuiszorg;Nederland;85;;www.verpleegservicemeierij.nl;60;79;discovered;;ai_discovery;2026-03-23 10:17:19
info@regionaalezorggroost.nl;Regionale Zorggroep Oost;thuiszorg;Nederland;80;;www.regionaalezorggroost.nl;60;79;discovered;;ai_discovery;2026-03-23 10:17:19
info@wijkverpleging-amsterdam.nl;Wijkverpleging Amsterdam;thuiszorg;Nederland;64;;www.wijkverpleging-amsterdam.nl;60;78;discovered;;ai_discovery;2026-03-23 09:57:57
info@voorkantzorggroep.nl;Voorkant Zorggroep;thuiszorg;Nederland;88;;www.voorkantzorggroep.nl;60;78;discovered;;ai_discovery;2026-03-23 10:17:20
info@thuiszorgdenhaag.nl;Thuiszorg Den Haag;thuiszorg;Den Haag;55;;www.thuiszorgdenhaag.nl;0;78;new;;ai_knowledge;2026-03-18 12:51:53
info@wijkverpleegingutrecht.nl;Wijkverpleging Utrecht;thuiszorg;Utrecht;52;;www.wijkverpleegingutrecht.nl;0;78;new;;ai_knowledge;2026-03-18 12:51:54
info@woonzorgnederland.nl;Woonzorg Nederland;thuiszorg;Nederland;62;;www.woonzorgnederland.nl;60;77;discovered;;ai_discovery;2026-03-23 09:20:31
info@sensire.nl;Sensire;thuiszorg;Nederland;62;;www.sensire.nl;60;77;discovered;;ai_discovery;2026-03-23 09:57:57
info@wijkverplegingliimburg.nl;Wijkverpleging Limburg;thuiszorg;Nederland;75;;www.wijkverplegingliimburg.nl;60;77;discovered;;ai_discovery;2026-03-23 10:17:19
info@amstelring.nl;Amstelring;thuiszorg;Amsterdam;58;;www.amstelring.nl;0;77;new;;ai_knowledge;2026-03-18 12:51:53
info@zorgaanhuis.nl;Zorg aan Huis;thuiszorg;Nederland;52;;www.zorgaanhuis.nl;60;76;discovered;;ai_discovery;2026-03-23 09:20:31
info@hanzezorg.nl;Hanze Thuiszorg;thuiszorg;Nederland;55;;www.hanzezorg.nl;60;76;discovered;;ai_discovery;2026-03-23 09:57:57
info@mobielbzorg.nl;Mobiel Zorg Limburg;thuiszorg;Nederland;58;;www.mobielbzorg.nl;60;76;discovered;;ai_discovery;2026-03-23 09:57:57
info@zorgverlenersnederland.nl;Zorgverleners Nederland;thuiszorg;Nederland;72;;www.zorgverlenersnederland.nl;60;76;discovered;;ai_discovery;2026-03-23 09:57:57
info@zorgteamrotterdam.nl;Zorgteam Rotterdam;thuiszorg;Nederland;55;;www.zorgteamrotterdam.nl;60;76;discovered;;ai_discovery;2026-03-23 09:57:57
info@verpleegzorgholwest.nl;Verpleegzorg Holland West;thuiszorg;Nederland;55;;www.verpleegzorgholwest.nl;60;76;discovered;;ai_discovery;2026-03-23 10:17:19
info@zorggroepamsterdam.nl;Zorggroep Amsterdam;thuiszorg;Amsterdam;72;;www.zorggroepamsterdam.nl;0;76;new;;ai_knowledge;2026-03-18 12:51:53
info@dezorggroep.nl;Zorgbedrijf de Zorggroep;thuiszorg;Nederland;38;;www.dezorggroep.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:27
info@buurtzorg.com;Buurtzorg Nederland;thuiszorg;Nederland;120;;www.buurtzorg.com;60;75;discovered;;ai_discovery;2026-03-23 09:20:27
info@ziekenhuiszorgthuiszorg.nl;Ziekenhuiszorg Thuiszorg;thuiszorg;Nederland;35;;www.ziekenhuiszorgthuiszorg.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:27
info@aesculaap.nl;Aesculaap Thuiszorg;thuiszorg;Nederland;28;;www.aesculaap.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:27
info@zorggroepsintmaarten.nl;Zorggroep Sint Maarten;thuiszorg;Nederland;42;;www.zorggroepsintmaarten.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@aanzetthuiszorg.nl;Aanzet Thuiszorg;thuiszorg;Nederland;31;;www.aanzetthuiszorg.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@holmesdal.nl;Zorggroep Holmesdal;thuiszorg;Nederland;25;;www.holmesdal.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorggroepmaasland.nl;De Zorggroep Maasland;thuiszorg;Nederland;22;;www.zorggroepmaasland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@vantricht.nl;Thuiszorg van Tricht;thuiszorg;Nederland;29;;www.vantricht.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@breburg.nl;Zorggroep Breburg;thuiszorg;Nederland;48;;www.breburg.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorgheidezicht.nl;Zorg Groep Maasland;thuiszorg;Nederland;35;;www.zorgheidezicht.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@hetzonnehuis.nl;Thuiszorg Het Zonnehuis;thuiszorg;Nederland;21;;www.hetzonnehuis.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zonnehuizen.nl;Zorgbedrijf Zonnehuizen;thuiszorg;Nederland;33;;www.zonnehuizen.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@thuiszorg-tilburg.nl;Gementethuiszorg Tilburg;thuiszorg;Nederland;44;;www.thuiszorg-tilburg.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorggroep-apeldoorn.nl;Zorggroep Apeldoorn;thuiszorg;Nederland;39;;www.zorggroep-apeldoorn.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@thuiszorg-nijmegen.nl;Thuiszorg Nijmegen;thuiszorg;Nederland;32;;www.thuiszorg-nijmegen.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorgclub-denbosch.nl;Zorgclub Den Bosch;thuiszorg;Nederland;37;;www.zorgclub-denbosch.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@thuiszorg-zwolle.nl;Thuiszorg Zwolle;thuiszorg;Nederland;26;;www.thuiszorg-zwolle.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorggroep-ede.nl;Zorggroep Ede;thuiszorg;Nederland;24;;www.zorggroep-ede.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorggroep-friesland.nl;Zorggroep Friesland;thuiszorg;Nederland;41;;www.zorggroep-friesland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@thuiszorg-almaar.nl;Thuiszorg Almaar;thuiszorg;Nederland;27;;www.thuiszorg-almaar.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorghealthcare-alkmaar.nl;Zorggroep Alkmaar;thuiszorg;Nederland;23;;www.zorghealthcare-alkmaar.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:28
info@zorgpartnersnnoord.nl;Zorgpartners Noord;thuiszorg;Nederland;38;;www.zorgpartnersnnoord.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@humanitasthuiszorg.nl;Humanitas Thuiszorg;thuiszorg;Nederland;48;;www.humanitasthuiszorg.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorggroeprivierenland.nl;Zorggroep Rivierenland;thuiszorg;Nederland;35;;www.zorggroeprivierenland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@thuiszorgassist.nl;Thuiszorg Assist;thuiszorg;Nederland;41;;www.thuiszorgassist.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorggroependrenthe.nl;Zorggroep Drenthe;thuiszorg;Nederland;32;;www.zorggroependrenthe.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@wijkzorgnholand.nl;Wijkzorg Noord-Holland;thuiszorg;Nederland;44;;www.wijkzorgnholand.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorggroepfriesland.nl;Zorggroep Friesland;thuiszorg;Nederland;39;;www.zorggroepfriesland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorglimburgservices.nl;Zorg Limburg Services;thuiszorg;Nederland;43;;www.zorglimburgservices.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@thuiszorgflevoland.nl;Thuiszorg Flevoland;thuiszorg;Nederland;28;;www.thuiszorgflevoland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorggroepholland.nl;Zorggroep Holland;thuiszorg;Nederland;46;;www.zorggroepholland.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@zorgassistentiebrabant.nl;Zorgassistentie Brabant;thuiszorg;Nederland;49;;www.zorgassistentiebrabant.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
info@thuisok.nl;Thuis OK;thuiszorg;Nederland;37;;www.thuisok.nl;60;75;discovered;;ai_discovery;2026-03-23 09:20:31
