email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@timmerwerkderidder.nl;Timmerwerk De Ridder;timmerman;Nederland;8;;www.timmerwerkderidder.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@jansentimerwerk.nl;Bouwbedrijf Jansen Timmerwerk;timmerman;Nederland;12;;www.jansentimerwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerenbouwholland.nl;Timmer & Bouw Holland;timmerman;Nederland;15;;www.timmerenbouwholland.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@hoekstratimmerwerken.nl;Hoekstra Timmerwerken;timmerman;Nederland;10;;www.hoekstratimmerwerken.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@devriestimmerwerk.nl;De Vries Timmerwerk;timmerman;Nederland;9;;www.devriestimmerwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkpieterse.nl;Timmerwerk Pieterse;timmerman;Nederland;7;;www.timmerwerkpieterse.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfkorteweg.nl;Bouwbedrijf Korteweg;timmerman;Nederland;11;;www.bouwbedrijfkorteweg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkdelange.nl;Timmerwerk De Lange;timmerman;Nederland;6;;www.timmerwerkdelange.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@smithstimmerwerken.nl;Smits Timmerwerken;timmerman;Nederland;8;;www.smithstimmerwerken.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkvandenbeerg.nl;Timmerwerk Van den Berg;timmerman;Nederland;9;;www.timmerwerkvandenbeerg.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkgerritsen.nl;Timmerwerk Gerritsen;timmerman;Nederland;7;;www.timmerwerkgerritsen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@deboertimmerwerk.nl;De Boer Timmerwerk;timmerman;Nederland;8;;www.deboertimmerwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkheemskerk.nl;Timmerwerk Heemskerk;timmerman;Nederland;6;;www.timmerwerkheemskerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfroos.nl;Bouwbedrijf Roos;timmerman;Nederland;10;;www.bouwbedrijfroos.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkdegraaf.nl;Timmerwerk De Graaf;timmerman;Nederland;7;;www.timmerwerkdegraaf.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfswart.nl;Bouwbedrijf Swart;timmerman;Nederland;9;;www.bouwbedrijfswart.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkvermeeulen.nl;Timmerwerk Vermeulen;timmerman;Nederland;8;;www.timmerwerkvermeeulen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@detimmermanbedrijf.nl;De Timmerman Bedrijf;timmerman;Nederland;6;;www.detimmermanbedrijf.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkbouwman.nl;Timmerwerk Bouwman;timmerman;Nederland;11;;www.timmerwerkbouwman.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfgeuze.nl;Bouwbedrijf Geuze;timmerman;Nederland;10;;www.bouwbedrijfgeuze.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkschreurs.nl;Timmerwerk Schreurs;timmerman;Nederland;8;;www.timmerwerkschreurs.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfdevos.nl;Bouwbedrijf De Vos;timmerman;Nederland;9;;www.bouwbedrijfdevos.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@timmerwerkhoutkamp.nl;Timmerwerk Houtkamp;timmerman;Nederland;7;;www.timmerwerkhoutkamp.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@bouwbedrijfrenssen.nl;Bouwbedrijf Renssen;timmerman;Nederland;6;;www.bouwbedrijfrenssen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:10
info@houtenconstructies.nl;Houten Constructies Bogaerts;timmerman;Nederland;8;;www.houtenconstructies.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@timmerwerkbruggeman.nl;Timmerwerk Bruggeman;timmerman;Nederland;6;;www.timmerwerkbruggeman.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@detimmermanbouwservice.nl;De Timmerman Bouwservice;timmerman;Nederland;7;;www.detimmermanbouwservice.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@bouwkundigtimmerwerk.nl;Bouwkundig Timmerwerk Noord;timmerman;Nederland;6;;www.bouwkundigtimmerwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@houtenbouw.nl;Hout & Bouw Professionals;timmerman;Nederland;9;;www.houtenbouw.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@timmerwerkjanssen.nl;Timmerwerk Janssen;timmerman;Nederland;7;;www.timmerwerkjanssen.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@vakkundigtimmerwerk.nl;Vakkundig Timmerwerk;timmerman;Nederland;6;;www.vakkundigtimmerwerk.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@timmerwerksmit.nl;Timmerwerk Smit & Zonen;timmerman;Nederland;8;;www.timmerwerksmit.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@timmerwerkdegrroot.nl;Timmerwerk de Groot;timmerman;Nederland;7;;www.timmerwerkdegrroot.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@bouwwerkhout.nl;Bouwwerk Houtbewerking;timmerman;Nederland;6;;www.bouwwerkhout.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@houtenframes.nl;Houten Frames & Timmerwerk;timmerman;Nederland;6;;www.houtenframes.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@timmerweklakeman.nl;Timmerwerk Lakeman;timmerman;Nederland;7;;www.timmerweklakeman.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@bouwwerkhouten.nl;Bouwwerk Houten Constructies;timmerman;Nederland;8;;www.bouwwerkhouten.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
info@houtexperts.nl;Hout Constructie Experts;timmerman;Nederland;6;;www.houtexperts.nl;60;60;discovered;;ai_discovery;2026-03-23 09:24:53
