email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@gistlogistics.nl;Gist;transport;Nederland;350;;www.gistlogistics.nl;60;100;discovered;;ai_discovery;2026-03-23 09:16:27
info@emonsgroep.nl;Emons Groep;transport;Nederland;310;;www.emonsgroep.nl;60;99;discovered;;ai_discovery;2026-03-23 09:16:27
info@jderijk.nl;Jan de Rijk Logistics;transport;Raalte;190;;www.jderijk.nl;0;98;new;;ai_knowledge;2026-03-18 13:50:25
info@havilogistics.nl;Havi Logistics;transport;Nederland;180;;www.havilogistics.nl;60;97;discovered;;ai_discovery;2026-03-23 09:16:18
info@nijhuislogistiek.nl;Nijhuis Logistiek;transport;Nederland;175;;www.nijhuislogistiek.nl;60;96;discovered;;ai_discovery;2026-03-23 09:16:27
info@theopouw.nl;"Transport en logistiek &#8211; Theo Pouw Groep";transport;Utrecht;50;0240515-1500-;https://www.theopouw.nl/diensten/transport-and-logistiek/;0;96;new;;web_scrape;2026-03-18 10:29:16
info@gerlachtransport.nl;Gerlach Transport;transport;Nederland;320;;www.gerlachtransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@ecgtransport.nl;ECG Transport;transport;Nederland;95;;www.ecgtransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@vogelzangtransport.nl;Vogelzang Transport;transport;Nederland;160;;www.vogelzangtransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@bakkerlogistics.nl;Bakker Logistics;transport;Nederland;140;;www.bakkerlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@wemotransport.nl;Wemo Transport;transport;Nederland;110;;www.wemotransport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@gerritzen.nl;Gerritzen Transport;transport;Nederland;75;;www.gerritzen.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@hts-transport.nl;HTS Transport;transport;Nederland;90;;www.hts-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@lokomotief.nl;Lokomotief Transport;transport;Nederland;105;;www.lokomotief.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@heronlogistics.nl;Heron Logistics;transport;Nederland;85;;www.heronlogistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@pijpers.nl;Pijpers Transport;transport;Nederland;120;;www.pijpers.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:35
info@schepens-transport.nl;Schepens Transport;transport;Nederland;110;;www.schepens-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@faber-logistics.nl;Faber Logistics;transport;Nederland;75;;www.faber-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@verhoef-transport.nl;Verhoef Transport;transport;Nederland;65;;www.verhoef-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@franken-logistiek.nl;Franken Logistiek;transport;Nederland;55;;www.franken-logistiek.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@veldhuizen-transport.nl;Veldhuizen Transport;transport;Nederland;70;;www.veldhuizen-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@mons-transport.nl;Mons Transport;transport;Nederland;88;;www.mons-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@berger-logistics.nl;Berger Logistics;transport;Nederland;135;;www.berger-logistics.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@wieland-transport.nl;Wieland Transport;transport;Nederland;92;;www.wieland-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@houwers-transport.nl;Houwers Transport;transport;Nederland;115;;www.houwers-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
info@segers-transport.nl;Segers Transport;transport;Nederland;62;;www.segers-transport.nl;60;95;discovered;;ai_discovery;2026-03-23 09:03:46
