email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@ramac.nl;Verhuisbedrijf Ramac;verhuisbedrijf;Nederland;52;;www.ramac.nl;60;80;discovered;;ai_discovery;2026-03-23 10:34:12
info@goudsmit.nl;Verhuisbedrijf Goudsmit;verhuisbedrijf;Nederland;25;;www.goudsmit.nl;60;73;discovered;;ai_discovery;2026-03-23 09:04:31
info@kleiboer.nl;Kleiboer Verhuizingen;verhuisbedrijf;Nederland;22;;www.kleiboer.nl;60;70;discovered;;ai_discovery;2026-03-23 09:04:31
info@metropool-verhuis.nl;Metropool Verhuizingen;verhuisbedrijf;Nederland;28;;www.metropool-verhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:04:32
info@prof-removals.nl;Professional Removals;verhuisbedrijf;Nederland;26;;www.prof-removals.nl;60;70;discovered;;ai_discovery;2026-03-23 09:04:32
info@expertmovers.nl;Expert Movers Holland;verhuisbedrijf;Nederland;22;;www.expertmovers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:04:42
info@mammothverhuizingen.nl;Mammoth Verhuizingen;verhuisbedrijf;Nederland;45;;www.mammothverhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@bokaalverhuizingen.nl;Verhuisbedrijf Bokaal;verhuisbedrijf;Nederland;25;;www.bokaalverhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@amsterdamverhuizingen.nl;Amsterdam Verhuizingen;verhuisbedrijf;Nederland;38;;www.amsterdamverhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@movingxpress.nl;Movingxpress;verhuisbedrijf;Nederland;32;;www.movingxpress.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@nederveenverhuis.nl;Nederveen Verhuizingen;verhuisbedrijf;Nederland;21;;www.nederveenverhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@globalmovingcompany.nl;Global Moving Company;verhuisbedrijf;Nederland;42;;www.globalmovingcompany.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@vanlinschotenverhuis.nl;Van Linschoten Verhuizingen;verhuisbedrijf;Nederland;29;;www.vanlinschotenverhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:28
info@bovemij.nl;Verhuisbedrijf Bovemij;verhuisbedrijf;Nederland;25;;www.bovemij.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@demenagements-europe.nl;Demenagements Europe;verhuisbedrijf;Nederland;30;;www.demenagements-europe.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@ceuppens.nl;Demenagements Ceuppens;verhuisbedrijf;Nederland;28;;www.ceuppens.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@intereurope-verhuizingen.nl;Intereurope Verhuizingen;verhuisbedrijf;Nederland;35;;www.intereurope-verhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@verhuisbedrijf-dejong.nl;Verhuisbedrijf De Jong;verhuisbedrijf;Nederland;22;;www.verhuisbedrijf-dejong.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@vanderlinde-verhuis.nl;Van der Linde Verhuizingen;verhuisbedrijf;Nederland;24;;www.vanderlinde-verhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@euromovers-nederland.nl;Euromovers Nederland;verhuisbedrijf;Nederland;38;;www.euromovers-nederland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@stunt-verhuizingen.nl;Stunt Verhuizingen;verhuisbedrijf;Nederland;32;;www.stunt-verhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:33
info@utrecht-center-verhuis.nl;Verhuizen Utrecht Centrum;verhuisbedrijf;Nederland;26;;www.Utrecht-center-verhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:34
info@nimbus-verhuizingen.nl;Nimbus Verhuizingen;verhuisbedrijf;Nederland;29;;www.nimbus-verhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:34
info@santens-verhuis.nl;Verhuisbedrijf Santens;verhuisbedrijf;Nederland;21;;www.santens-verhuis.nl;60;70;discovered;;ai_discovery;2026-03-23 09:08:34
info@verhuisbedrijfajax.nl;Verhuisbedrijf Ajax;verhuisbedrijf;Nederland;22;;www.verhuisbedrijfajax.nl;60;70;discovered;;ai_discovery;2026-03-23 09:17:44
info@moviconverhuizingen.nl;Movicon Verhuizingen;verhuisbedrijf;Nederland;21;;www.moviconverhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:17:44
info@stoof.nl;Verhuisbedrijf Stoof;verhuisbedrijf;Nederland;25;;www.stoof.nl;60;70;discovered;;ai_discovery;2026-03-23 09:17:51
info@verhuizers.nl;Verhuizers.nl;verhuisbedrijf;Nederland;30;;www.verhuizers.nl;60;70;discovered;;ai_discovery;2026-03-23 09:17:51
info@expresse-verhuizingen.nl;Expresse Verhuizingen;verhuisbedrijf;Nederland;22;;www.expresse-verhuizingen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:17:51
