email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@gaba.nl;Gemeente Afvalbedrijf Amsterdam;vuilophaal;Nederland;320;;www.gaba.nl;60;94;discovered;;ai_discovery;2026-03-23 09:59:42
info@grootamsterdam.nl;Groot Amsterdam;vuilophaal;Nederland;156;;www.grootamsterdam.nl;60;90;discovered;;ai_discovery;2026-03-23 09:59:42
info@wmn.nl;Waste Management Netherlands;vuilophaal;Nederland;450;;www.wmn.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@avrchemie.nl;AVR Chemie;vuilophaal;Nederland;200;;www.avrchemie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@renewi.nl;Renewi Nederland;vuilophaal;Nederland;380;;www.renewi.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@alliedwaste.nl;Allied Waste Services;vuilophaal;Nederland;150;;www.alliedwaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@rasrecycling.nl;RAS Recycling;vuilophaal;Nederland;120;;www.rasrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@afvalnord.nl;Afvalverwerking Noord;vuilophaal;Nederland;95;;www.afvalnord.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@wijafval.nl;Wij Afval;vuilophaal;Nederland;180;;www.wijafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@acsn.nl;Afvalcontainerservice Nederland;vuilophaal;Nederland;140;;www.acsn.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@gftservices.nl;GFT Services;vuilophaal;Nederland;110;;www.gftservices.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@milieudienstoost.nl;Milieudiensten Oost;vuilophaal;Nederland;85;;www.milieudienstoost.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@afvallogistiekrijnmond.nl;Afvallogistiek Rijnmond;vuilophaal;Nederland;95;;www.afvallogistiekrijnmond.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@nbaafval.nl;Noord-Brabantse Afvalverwerking;vuilophaal;Nederland;125;;www.nbaafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@limburgafval.nl;Limburg Afvalservice;vuilophaal;Nederland;105;;www.limburgafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@frieslandafval.nl;Friesland Afvalverwerking;vuilophaal;Nederland;78;;www.frieslandafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@drenthemilieu.nl;Drenthe Milieudiensten;vuilophaal;Nederland;65;;www.drenthemilieu.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@overijsselafval.nl;Overijssel Afvallogistiek;vuilophaal;Nederland;88;;www.overijsselafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@gelderlandwaste.nl;Gelderland Waste Solutions;vuilophaal;Nederland;145;;www.gelderlandwaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@utrechtafval.nl;Utrecht Afvalverzameling;vuilophaal;Nederland;135;;www.utrechtafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@hollandwaste.nl;Holland Waste Logistics;vuilophaal;Nederland;165;;www.hollandwaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@flevolandafval.nl;Flevoland Afvalverzorging;vuilophaal;Nederland;92;;www.flevolandafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@nhmilieu.nl;Noord-Holland Milieudiensten;vuilophaal;Nederland;108;;www.nhmilieu.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@zhafval.nl;Zuid-Holland Afvallogistiek;vuilophaal;Nederland;170;;www.zhafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@containerexpress.nl;Container Express Nederland;vuilophaal;Nederland;115;;www.containerexpress.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@ecowaste.nl;Eco Waste Management;vuilophaal;Nederland;130;;www.ecowaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@nlafvalservice.nl;Nederlandse Afvalservice;vuilophaal;Nederland;98;;www.nlafvalservice.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:12
info@circulus-berkel.nl;Circulus-Berkel;vuilophaal;Nederland;120;;www.circulus-berkel.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@hvcgroep.nl;HVC Groep;vuilophaal;Nederland;95;;www.hvcgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@spaak.nl;SPAAK Groep;vuilophaal;Nederland;75;;www.spaak.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@afvalsamen.nl;Afval Samen;vuilophaal;Nederland;55;;www.afvalsamen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@avri.nl;AVRI;vuilophaal;Nederland;130;;www.avri.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@rmc-afval.nl;RMC;vuilophaal;Nederland;68;;www.rmc-afval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@afvalserviceoost.nl;Afvalservice Oost;vuilophaal;Nederland;51;;www.afvalserviceoost.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@twentscheafval.nl;Twentsche Afvalbeheer;vuilophaal;Nederland;61;;www.twentscheafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:22:44
info@ann.nl;Afvalverwerking Noord Nederland;vuilophaal;Nederland;180;;www.ann.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
info@spaarnelanden.nl;Spaarnelanden;vuilophaal;Nederland;145;;www.spaarnelanden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
info@gws.nl;Gemeente Waste Services;vuilophaal;Nederland;210;;www.gws.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
info@duinencroon.nl;Duin & Kroon;vuilophaal;Nederland;175;;www.duinencroon.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
info@afvalservicefryslan.nl;Afvalservice Fryslan;vuilophaal;Nederland;85;;www.afvalservicefryslan.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
info@borseleafval.nl;Borsele Afvalverwerking;vuilophaal;Nederland;75;;www.borseleafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:39:49
